location,culture,historical_name,source,confidence,note
rennes,antq_redonian,Condate Redonum,PLE:69491;PLN:69491/condate-redonum;R2,tier2,Reviewed modern-field identity for Pleiades place 69491; AD 1 name resource 69491/condate-redonum.
rieti,antq_oscan_umbrian,Reate,PLE:413283;PLN:413283/reate;R2,tier2,Reviewed modern-field identity for Pleiades place 413283; AD 1 name resource 413283/reate.
rize,antq_chalybian,Rhizaion,PLE:857297;PLN:857297/rhizaion-1;R2,tier2,Reviewed modern-field identity for Pleiades place 857297; AD 1 name resource 857297/rhizaion-1.
roanne,antq_segusiavian,Rodumna,PLE:167885;PLN:167885/rodumna;R2,tier2,Reviewed modern-field identity for Pleiades place 167885; AD 1 name resource 167885/rodumna.
rodez,antq_rutenian,Segodunum,PLE:138579;PLN:138579/segodunum;R2,tier2,Reviewed modern-field identity for Pleiades place 138579; AD 1 name resource 138579/segodunum.
rodos,antq_greek_koine,Rhodos,PLE:590030;PLN:590030/rhodos-1;R2,tier2,Reviewed modern-field identity for Pleiades place 590030; AD 1 name resource 590030/rhodos-1.
saint_lizier,antq_convenian,Consoranni,PLE:246354;PLN:246354/consoranni;R2,tier2,Reviewed modern-field identity for Pleiades place 246354; AD 1 name resource 246354/consoranni.
saint_quentin,antq_viromanduian,Augusta Viromanduorum,PLE:108774;PLN:108774/augusta-viromanduorum;R2,tier2,Reviewed modern-field identity for Pleiades place 108774; AD 1 name resource 108774/augusta-viromanduorum.
salacon,antq_latin,Consilinum,PLE:442757;PLN:442757/consilinum-castrum;R2,tier2,Reviewed modern-field identity for Pleiades place 442757; AD 1 name resource 442757/consilinum-castrum.
salzburg,antq_noric,Iuvavum,PLE:187432;PLN:187432/iuvavum;R2,tier2,Reviewed modern-field identity for Pleiades place 187432; AD 1 name resource 187432/iuvavum.
santarem,antq_lusitanian,Scalabis,PLE:256438;PLN:256438/name.2015-03-10.6442864655;R2,tier2,Reviewed modern-field identity for Pleiades place 256438; AD 1 name resource 256438/name.2015-03-10.6442864655.
sarrebourg,antq_belgic,Pons Saravi,PLE:109254;PLN:109254/pons-saravi;R2,tier2,Reviewed modern-field identity for Pleiades place 109254; AD 1 name resource 109254/pons-saravi.
savona,antq_ligurian,Savo,PLE:383770;PLN:383770/savo;R2,tier2,Pleiades explicitly associates place 383770 with this modern field; AD 1 name resource 383770/savo.
senj,antq_iapodian,Senia,PLE:197505;PLN:197505/senia;R2,tier2,Reviewed modern-field identity for Pleiades place 197505; AD 1 name resource 197505/senia.
senlis,antq_bellovacian,Augustomagus,PLE:108776;PLN:108776/augustomagus;R2,tier2,Reviewed modern-field identity for Pleiades place 108776; AD 1 name resource 108776/augustomagus.
sens,antq_senonian,Agedincum,PLE:108729;PLN:108729/agedincum;R2,tier2,Reviewed modern-field identity for Pleiades place 108729; AD 1 name resource 108729/agedincum.
serpa,antq_celtician,Serpa,PLE:256446;PLN:256446/serpa;R2,tier2,Reviewed modern-field identity for Pleiades place 256446; AD 1 name resource 256446/serpa.
serres,antq_lyncestian,Sirra,PLE:501616;PLN:501616/sirra;R2,tier2,Reviewed modern-field identity for Pleiades place 501616; AD 1 name resource 501616/sirra.
setif,antq_phoenician_punic,Sitifis,PLE:305153;PLN:305153/sitifis;R2,tier2,Reviewed modern-field identity for Pleiades place 305153; AD 1 name resource 305153/sitifis.
sharuna,antq_egyptian,Hwt-nsw,PLE:736925;PLN:736925/hwt-nsw;R2,tier2,Reviewed modern-field identity for Pleiades place 736925; AD 1 name resource 736925/hwt-nsw.
shkoder,antq_parthinian,Scodra,PLE:481986;PLN:481986/scodra;R2,tier2,Reviewed modern-field identity for Pleiades place 481986; AD 1 name resource 481986/scodra.
simav,antq_greek_koine,Synaos,PLE:609537;PLN:609537/synaos;R2,tier2,Reviewed modern-field identity for Pleiades place 609537; AD 1 name resource 609537/synaos.
sivrihisar,antq_tolistobogian,Pessinous,PLE:609500;PLN:609500/pessinous;R2,tier2,Qualified modern-field proxy for the securely identified Tolistobogii centre Pessinous; the engine field is broader than the archaeological site.
soissons,antq_suessionian,Augusta Suessionum,PLE:108772;PLN:108772/augusta-suessionum;R2,tier2,Reviewed modern-field identity for Pleiades place 108772; AD 1 name resource 108772/augusta-suessionum.
solothurn,antq_helvetian,Salodurum,PLE:177624;PLN:177624/salodurum;R2,tier2,Reviewed modern-field identity for Pleiades place 177624; AD 1 name resource 177624/salodurum.
sora,antq_latin,Sora,PLE:433126;PLN:433126/sora;R2,tier2,Reviewed modern-field identity for Pleiades place 433126; AD 1 name resource 433126/sora.
suhut,antq_pisidian,Synnada,PLE:609538;PLN:609538/synnada-1;R2,tier2,Reviewed modern-field identity for Pleiades place 609538; AD 1 name resource 609538/synnada-1.
sulmona,antq_oscan_umbrian,Sulmo,PLE:433134;PLN:433134/sulmo;R2,tier2,Reviewed modern-field identity for Pleiades place 433134; AD 1 name resource 433134/sulmo.
susa,antq_cisalpine_gallic,Segusio,PLE:167919;PLN:167919/segusio;R2,tier2,Reviewed modern-field identity for Pleiades place 167919; AD 1 name resource 167919/segusio.
talavera_de_la_reina,antq_carpetanian,Caesarobriga,PLE:265834;PLN:265834/caesarobriga;R2,tier2,Reviewed modern-field identity for Pleiades place 265834; AD 1 name resource 265834/caesarobriga.
tarbes,antq_bigerrionian,Tarba,PLE:246679;PLN:246679/tarba;R2,tier2,Reviewed modern-field identity for Pleiades place 246679; AD 1 name resource 246679/tarba.
taskopru,antq_paphlagonian,Pompēiópolis,PLE:845041;PLN:845041/pompeiopolis;R2,tier2,Reviewed modern-field identity for Pleiades place 845041; AD 1 name resource 845041/pompeiopolis.
tebessa,antq_phoenician_punic,Theveste,PLE:324831;PLN:324831/theveste;R2,tier2,Pleiades explicitly associates place 324831 with this modern field; AD 1 name resource 324831/theveste.
tebourba,antq_phoenician_punic,Thuburbi Minus,PLE:315219;PLN:315219/thuburbi-minus;R2,tier2,Reviewed modern-field identity for Pleiades place 315219; AD 1 name resource 315219/thuburbi-minus.
teramo,antq_oscan_umbrian,Interamnia Praetuttiorum,PLE:413179;PLN:413179/interamnia-praetuttiorum;R2,tier2,Reviewed modern-field identity for Pleiades place 413179; AD 1 name resource 413179/interamnia-praetuttiorum.
terracina,antq_latin,Tarracina,PLE:433143;PLN:433143/tarracina;R2,tier2,Reviewed modern-field identity for Pleiades place 433143; AD 1 name resource 433143/tarracina.
thagaste,antq_phoenician_punic,Thagaste,PLE:315198;PLN:315198/thagaste;R2,tier2,Reviewed modern-field identity for Pleiades place 315198; AD 1 name resource 315198/thagaste.
thala,antq_phoenician_punic,Thala,PLE:324826;PLN:324826/thala;R2,tier2,Reviewed modern-field identity for Pleiades place 324826; AD 1 name resource 324826/thala.
thasos,antq_lyncestian,Thasos,PLE:501634;PLN:501634/thasos;R2,tier2,Reviewed modern-field identity for Pleiades place 501634; AD 1 name resource 501634/thasos.
tire,antq_ionian,Thyaira,PLE:599981;PLN:599981/thyaira;R2,tier2,Reviewed modern-field identity for Pleiades place 599981; AD 1 name resource 599981/thyaira.
todi,antq_oscan_umbrian,Tuder,PLE:413354;PLN:413354/tuder;R2,tier2,Pleiades explicitly associates place 413354 with this modern field; AD 1 name resource 413354/tuder.
tortoli,antq_nuragic,Sulcis,PLE:472025;PLN:472025/sulcis;R2,tier2,Pleiades explicitly associates place 472025 with this modern field; AD 1 name resource 472025/sulcis.
toul,antq_mediomatrician,Tullum,PLE:109396;PLN:109396/tullum;R2,tier2,Reviewed modern-field identity for Pleiades place 109396; AD 1 name resource 109396/tullum.
tours,antq_turonian,Caesarodunum,PLE:138255;PLN:138255/caesarodunum;R2,tier2,Reviewed modern-field identity for Pleiades place 138255; AD 1 name resource 138255/caesarodunum.
trapani,antq_greek_koine,Drepanum,PLE:462187;PLN:462187/drepanum;R2,tier2,Reviewed modern-field identity for Pleiades place 462187; AD 1 name resource 462187/drepanum.
ucles,antq_celtiberian,Ocules,PLE:265983;PLN:265983/ocules;R2,tier2,Reviewed modern-field identity for Pleiades place 265983; AD 1 name resource 265983/ocules.
urbino,antq_cisalpine_gallic,Urvinum Mataurense,PLE:413366;PLN:413366/urvinum-mataurense;R2,tier2,Reviewed modern-field identity for Pleiades place 413366; AD 1 name resource 413366/urvinum-mataurense.
uzes,antq_volcan_arecomican,Ucetia,PLE:148222;PLN:148222/ucetia;R2,tier2,Reviewed modern-field identity for Pleiades place 148222; AD 1 name resource 148222/ucetia.
valence,antq_vocontian,Valentia,PLE:167718;PLN:167718/col-valentia;R2,tier2,Reviewed modern-field identity for Pleiades place 167718; AD 1 name resource 167718/col-valentia.
vannes,antq_venetian,Darioritum,PLE:138323;PLN:138323/darioritum;R2,tier2,Reviewed modern-field identity for Pleiades place 138323; AD 1 name resource 138323/darioritum.
vasto,antq_oscan_umbrian,Histonium,PLE:413171;PLN:413171/histonium;R2,tier2,Reviewed modern-field identity for Pleiades place 413171; AD 1 name resource 413171/histonium.
venafro,antq_latin,Venafrum,PLE:433185;PLN:433185/venafrum;R2,tier2,Reviewed modern-field identity for Pleiades place 433185; AD 1 name resource 433185/venafrum.
ventimiglia,antq_ligurian,Albium Intimilium,PLE:157802;PLN:157802/albium-intimilium;R2,tier2,Reviewed modern-field identity for Pleiades place 157802; AD 1 name resource 157802/albium-intimilium.
vercelli,antq_cisalpine_gallic,Vercellae,PLE:383815;PLN:383815/vercellae;R2,tier2,Reviewed modern-field identity for Pleiades place 383815; AD 1 name resource 383815/vercellae.
veria,antq_macedonian,Berroia,PLE:491546;PLN:491546/berroia;R2,tier2,Reviewed modern-field identity for Pleiades place 491546; AD 1 name resource 491546/berroia.
vic,antq_ausetanian,Auso,PLE:246212;PLN:246212/auso;R2,tier2,Reviewed modern-field identity for Pleiades place 246212; AD 1 name resource 246212/auso.
vichy,antq_arvernian,Aquae Calidae,PLE:138186;PLN:138186/aquae-calidae;R2,tier2,Reviewed modern-field identity for Pleiades place 138186; AD 1 name resource 138186/aquae-calidae.
vienne,antq_allobrogian,Vienna,PLE:167719;PLN:167719/col-vienna;R2,tier2,Reviewed modern-field identity for Pleiades place 167719; AD 1 name resource 167719/col-vienna.
voghera,antq_cisalpine_gallic,Iria,PLE:383680;PLN:383680/iria;R2,tier2,Pleiades explicitly associates place 383680 with this modern field; AD 1 name resource 383680/iria.
volterra,antq_etruscan,Volaterrae,PLE:403292;PLN:403292/volaterrae;R2,tier2,Reviewed modern-field identity for Pleiades place 403292; AD 1 name resource 403292/volaterrae.
yalvac,antq_homonadean,Antiochia,PLE:609307;PLN:609307/antiochia;R2,tier2,Reviewed modern-field identity for Pleiades place 609307; AD 1 name resource 609307/antiochia.
zurich,antq_helvetian,Turicum,PLE:187596;PLN:187596/turicum;R2,tier2,Reviewed modern-field identity for Pleiades place 187596; AD 1 name resource 187596/turicum.
