vanilla_culture,controlled_locations,m4_profile_candidates,regions,sample_locations
upper_egyptian_culture,20,antq_latin:20,Rome:20,akhmim;ashmunayn;aswan;asyut;bahariyya;baris;edfu;el_balyana
yerle_qaliq_culture,20,antq_xiongnu:20,Steppe:20,alakol;almenevo;chimgi_tura;kargapolye;kurtamysh;safkul;sasykkol;shadrinsk
champenais,19,antq_latin:19,Rome:19,bar_sur_seine;brienne;broyes;chalons_champagne;chateau_porcien;chateau_thierry;epernay;grandpre
dai_culture,19,antq_han:15|antq_mon:4,China:15|Southeast Asia:4,beisheng;jinshajiang;ky_son;lai_chau;langqu;luokong;mala;muang_et
khon_muang_culture,19,antq_mon:19,Southeast Asia:19,chiang_dao;chiang_khong;chiang_mai;chiang_rai;chiang_saen;chom_khao_maneerat;hot;lampang
limousin,19,antq_latin:19,Rome:19,aixe;aubusson;bourganeuf;chambon;gueret;herment;limoges;montaigut
prussian,19,antq_baltic:18|antq_gothic:1,Baltic:18|Germania:1,brodnica;dzierzgon;elblag;fischhausen;frombork;gdansk;gniew;grudziadz
sardinian,19,antq_latin:19,Rome:19,ales;alghero;bitti;bosa;cagliari;isili;macomer;muravera
franc_comtois,18,antq_latin:18,Rome:18,auxonne;baume;besancon;choiseul;dole;grancey;gray;langres
poitevin,18,antq_latin:18,Rome:18,aulnay;beauvoir;bellac;charroux;chatellerault;fontenay;la_roche_sur_yon;loudun
pontic_greek_culture,18,antq_latin:13|antq_sarmatian:5,Pontic:5|Rome:13,amasra;bafra;bayramlu;gerze;giresun;gorele;kaffa;lusta
rakhine_culture,18,antq_mon:18,Southeast Asia:18,akyab;ann;chakaria;chittagong;gwa;kaptai;karpus_mahal;launggyet
sinhalese,18,antq_indo_aryan:18,Lanka:18,anuradhapura;badulla;devanagara;galle;gampola;hambantota;hatthigiripura;kandy
tigrinya,18,antq_nubian:18,Africa:18,abala;abiy_addi;adigrat;adwa;agula;antalo;asmara;axum
venetian,18,antq_latin:18,Rome:18,bassano;belluno;castelfranco;ceneda;chioggia;conegliano;feltre;legnago
wari_culture,18,antq_moche:11|antq_nazca:7,Andes:18,aruni;cahuachi;choccalpata;illapa;kaxa_marca;llucho;markahuamachuco;paqwayranra
yongzhou_culture,18,antq_han:18,China:18,changning;chenyang;dongan_yongzhou;guiyang_hengyang;lanshan;leiyang;lengshuitan;lianzhou
albanian,17,antq_latin:17,Rome:17,argyrokastro;avlonya;ballsh;berat;butrint;debar;devol;dukagjini
cham_culture,17,antq_mon:17,Southeast Asia:17,amaravati;amarendrapura;aryaru;bal_cattinon;bong_son;camp_po_thit;chan_bo;dien_ban
frisian,17,antq_germanic:17,Germania:16|Scandinavia:1,appingedam;aurich;elsfleth;emden;gestenthorpe;groningen;harlingen;heide
kharchin_culture,17,antq_han:15|antq_xiongnu:2,China:15|Steppe:2,daning_pingquan;enhua;fushu;hezhong;jinzhou_liaoyang;limin;liuyuan;lizhou
khmu_culture,17,antq_mon:17,Southeast Asia:17,ban_khon;dan_sai;kham_muang;khon_kaen;kut_ling;loei;muang_nakhon;muang_nong_han_luang
laoxiang_culture,17,antq_han:17,China:17,baicang;baima;dongping;huaihua;huitong;longhui;loudi;mayang
malvi,17,antq_indo_aryan:17,India:17,agar;bhanpura;bhopal;bijagarh;dhar;indore;khandwa;khategaon
rhine_alemannic,17,antq_germanic:17,Germania:17,baden;belfort;benfeld;colmar;ensisheim;ferrette;freiburg;hachberg
slovene,17,antq_dacian:1|antq_latin:16,Danube:1|Rome:16,bled;celje;gorizia;ilirska_bistrica;kocevje;kranj;lasko;ljubljana
sundanese_culture,17,antq_mon:17,Southeast Asia:17,banten;cianjur;cibadak;cibuaya;cimanuk;cirebon;kandangwesi;kawali
swahili_culture,17,antq_nubian:17,Africa:17,bagamoyo;dar_es_salaam;gedi;kisimani_mafia;lamu;malindi;mkwaja;mombasa
transylvanian,17,antq_dacian:15|antq_germanic:2,Danube:15|Germania:2,aiud;baia_crisului;baia_de_aries;baia_mare;baita;beius;caransebes;cincu
udege_culture,17,antq_xiongnu:17,Steppe:17,alchan;anchun;anju_nurgan;bikinka;imanka;katen;kema;koppi
yue_wu_culture,17,antq_han:17,China:17,changguo;cixi;dinghai;fenghua;fuyang_hangzhou;linan;ninghai;shangyu
bru_culture,16,antq_mon:16,Southeast Asia:16,ban_phone;bolikham;keutkeut;khamkeut;mahaxay;muang_mang;muang_phalan;muang_phin
highland,16,antq_brittonic:16,Britain:16,aberfeldy;ardtornish;badenoch;cowal;dingwall;dornoch;durness;gairloch
huaihai_culture,16,antq_han:16,China:16,dangshan;fengxian;ganyu;gaoqiao;peixian;qushan;shagou;suining_pizhou
kangri,16,antq_saka:16,India:16,bajaura;barmaur;chamba_india;kahlur;keylong;koksar;kutlehar;mandi
minnan_culture,16,antq_han:16,China:16,anxi;changtai;dehua;huafeng;huian;jinjiang;longxi;longyan
moravian,16,antq_germanic:16,Germania:16,bitov;brno;dacice;hodonin;hradiste;jihlava;olomouc;pernstejn
otomanguean_culture,16,antq_teotihuacano:16,Mesoamerica:16,axocopan;cadereyta;cuzalapa;ixmiquilpan;ixtachichimecapan;kerhiretarhu;metztitlan;pachyohcan
songhai,16,antq_mande:16,West Africa:16,ansongo;aribinda;bamba;borenta;bourem;deou;dorey;gao
tai_long_culture,16,antq_mon:16,Southeast Asia:16,hsipaw;kehsi;kengkham;kengtawng;kyaukme;lai_hka;lawksawk;mawkmai
vivaro_alpine,16,antq_latin:16,Rome:16,barcelonnette;briancon;chalancon;condorcet;die;gap;la_mure;le_puy
afar_culture,15,antq_nubian:15,Africa:15,afrera;ankober;asaita;assab;balho;bayul;buri;dallol
angevin,15,antq_latin:15,Rome:15,angers;bauge;beaumont_au_maine;beaupreau;chateau_du_loir;chateau_gontier;laval;le_lude
banjar_culture,15,antq_mon:15,Southeast Asia:15,bangkalan_borneo;banjar;cantung;kahayan_hilir;kuripan;martapura;mendawai;muara_bahan
fuzhou_culture,15,antq_han:15,China:15,changle_fujian;chongan;fuqing;gutian;houguan;lianjiang;luoyuan;mingxi
gonga_culture,15,antq_nubian:15,Africa:15,agaro;bilo;bonga;bossa;fofa;gambo;hadiya;hirmata
haixi_culture,15,antq_korean:10|antq_xiongnu:5,Korea:10|Steppe:5,bayan_susu;boduna;dalaiketun;hailun;hulan;hulawen;hvlan;nemeri
kayan_culture,15,antq_mon:15,Southeast Asia:15,bengalon;hulu_limbang;hulu_telen;karangan;kayan;kelay;sambaliung;sandaran
kuy_culture,15,antq_mon:15,Southeast Asia:15,chaiyaphum;kaset_sombun;khon_san;khorat;khukhan;mancha_khiri;muang_tam;nokor_reach_seyma
magahi,15,antq_indo_aryan:15,India:15,chai;chatra;deo;deoghar;gaya;gobindpur;hazaribagh;katrasgarh
batak_culture,14,antq_mon:14,Southeast Asia:14,bahal;balige;barus;bilah;deli;karo;kota_rentang;pakpak
cahokia_culture,14,antq_algonquian:14,North America:14,amonokoa;cahokia;chariton;emasulia;macoupin;meramec;moingwena;oahaha
gallo,14,antq_latin:14,Rome:14,blain;chateaubriant;dol;fougeres;guerande;josselin;monfort_sur_meu;nantes
harla_culture,14,antq_nubian:14,Africa:14,arabi;awbare;bale;barara;dakkar;dire_dawa;gendebelo;harar
hazara_culture,14,antq_saka:3|antq_sogdian:11,Central Asia:11|Iran:3,awbeh;baghran;bamyan;chishti_sarif;deh_kundi;firozkoh;jawand;kahmard
norse_gael,14,antq_brittonic:14,Britain:14,arran;ayr;harris;irvine;islay;kenmure;kintyre;kirkcudbright
pomor,14,antq_venedi:14,Eastern Europe:14,arkhangelsk;brin_navolok;kholmogory;luda;malye_oserki;nyonoksa;pomorye;priluky
samogitian,14,antq_baltic:4|antq_venedi:10,Baltic:4|Eastern Europe:10,jurbarkas;kraziai;linkava;medininkai;memel;papile;pasvalys;ragnit
sanhaja,14,antq_berber:14,Africa:14,ameskour;azilal;azrou;baht;boumalne_dades;er_rich;khenifra;ksar_es_souk
sudovian,14,antq_baltic:5|antq_venedi:9,Baltic:5|Eastern Europe:9,alytus;barten;elk;goniadz;grodno;lazdijai;lipsk;panemune
tai_lu_culture,14,antq_han:9|antq_mon:5,China:9|Southeast Asia:5,daolong;gengdang;jinglong;menghai;mong_hpayak;mong_hsat;mong_yawng;muang_sing
bagheli,13,antq_indo_aryan:13,India:13,agori;bandogarh;beohari;janakpur;kantit;madwas;mauganj;nagod
bagri,13,antq_indo_aryan:13,India:13,anupgarh;bhatnir;churu;kolasar;kolayat;pugal;rawatsar;sardarshahar
dambro_culture,13,antq_mon:13,Southeast Asia:13,chaiya;chumphon;ko_samui;krabi;kraburi;mardelong;prasong;sichon
eastern_pomeranian,13,antq_germanic:13,Germania:13,bialogard;bobolice;goleniow;gryfia_gora;kamien;kolobrzeg;koszalin;miastko
kam_culture,13,antq_han:13,China:13,huaiyuan_rongzhou;liping;luyang;qiongshui;taipengruodong;tianzhu;tixi;tongdao
ladakh_culture,13,antq_sogdian:13,Central Asia:13,charasa;drangtse;kargil;karpokhar;khaplu;lamayuru;leh;padum
lao_culture,13,antq_mon:13,Southeast Asia:13,ban_luang_cheng;chiang_khan;hongsa;muang_luang_phukha;muang_sua;muang_thaeng;muang_xay;nam_xuang
saintongeais,13,antq_latin:13,Rome:13,angouleme;chabanais;cognac;jonzac;la_rochelle;libourne;montendre;oleron
bhil,12,antq_indo_aryan:12,India:12,alirajpur;banswara;baria;dang;dharampur;jabhua;jawhar;laling
breton,12,antq_latin:12,Rome:12,brest;carhaix;chateaulin;chatelaudren;hennebont;le_faou;quimper;quimperle
buginese_culture,12,antq_mon:12,Southeast Asia:12,barru;bone;bungi;cenrana;luwu;malangke;malili;palopo
corsican,12,antq_latin:12,Rome:12,ajaccio;aleria;bastia;bonifacio;calvi;castelsardo;corte;sartene
dusun_culture,12,antq_mon:12,Southeast Asia:12,api_api;berune;hulu_labuk;hulu_segama;kinabatangan;kuamut;lahad_datu;lokan
hadhrami_culture,12,antq_arab:12,Arabia:12,al_khuraybah;al_mukalla;al_shihr;arrayda;birali;dha_sohis;hajar;huraydah
holsatian,12,antq_germanic:12,Germania:10|Scandinavia:2,eckernforde;eutin;flensburg;heiligenhafen;kiel;lubeck;pinneberg;plon
icelandic,12,antq_inuit_dorset:12,North America:12,altafjord;brattahlid;dyrnes;einarsfjord;gardr;herjolfsnes;hvalsey;ketilsfjord
konkani,12,antq_indo_aryan:12,India:12,bassein;bombay;chaul;dabhol;goa;janjira;kalyan;karwar
kumaoni,12,antq_indo_aryan:9|antq_saka:3,India:12,ajayameru;askot;baijnath;champavati;dipayal;hanol;kalsi;nahan
maithili_culture,12,antq_indo_aryan:12,India:12,alamganj;bihariganj;darbhanga;janakpur_nepal;jhanjharpur;katihar;kosi;madhubani
orang_asli_culture,12,antq_mon:12,Southeast Asia:12,bera;beruas;gerik;jerantut;kajang;klang;kuala_lipis;manjung
orissan,12,antq_indo_aryan:12,India:12,asika;balasore;brahmapur;ganjam;harishpur;jajnagar;kalinganagara;kalingapattanam
oroqen_culture,12,antq_xiongnu:12,Steppe:12,aigun;chenqing;humar;kuanhe;menlu;mergen;non;pangu
totonac_culture,12,antq_teotihuacano:12,Mesoamerica:12,cempoala;cuyuxquihui;ixtacamaxtitlan;mizantla;nauhtlan;papantla;quiahuiztlan;tetela
acehnese_culture,11,antq_mon:11,Southeast Asia:11,bandar_aceh;calang;daya;meulaboh;pasai;peureulak;semerlanga;sigli
berrichon,11,antq_latin:11,Rome:11,bourbon;bourges;boussac;brosse;chateauroux;huriel;issoudun;lignieres
chuzhou_culture,11,antq_han:11,China:11,daxue;lishui;longquan;luoyang_wenzhou;minghe;pucheng_jianning;qingtian;qingyuan_chuzhou
daju_culture,11,antq_nubian:11,Africa:11,ain_farah;kabsoru;kebkabiya;kujunung;masa_sud;nyala;taweisha;towing
gyalrong_culture,11,antq_han:4|antq_sogdian:7,Central Asia:7|China:4,baoning_maozhou;dartsedo;diaomen;durgyeling;geshitsa;lhagang;lushan_yazhou;maerkang
hlai_culture,11,antq_han:11,China:11,changhua;chengmai;dingan;ganen;limushan;lingao;lingshui;ningyuan_wananjun
kanienkehaka_culture,11,antq_algonquian:11,North America:11,canajoharie;itekiatonhniarikon;kawenote;oneonta;oronia;oskennonton;saratoga;schenectady
mazanderani_culture,11,antq_parthian:11,Iran:11,al_mamtir;amol;ashraf;astarabad;chalus;farim_iran;kojur;lafur
mewari,11,antq_indo_aryan:11,India:11,amet;bhilwara;chavand;chittor;dungarpur;idar;kanthal;nagahrada
pamiri_culture,11,antq_bactrian:11,Central Asia:11,gunt;ishkashim;murghab;oksu;qila_panjeh;roshtqala;sar_sang;sarhad
sorbian,11,antq_germanic:11,Germania:11,bautzen;beeskow;calau;cottbus;gorlitz;guben;hoyerswerda;lubben
tonala_culture,11,antq_teotihuacano:11,Mesoamerica:11,acatic;chapallan;coinan;ixtlahuacan;metzquititlan;mextiacan;mitic;tepactitlan
xuanzhou_culture,11,antq_han:11,China:11,dangtu;dongliu;fanchang;guichi;nanling;ningguo;qingyang;shidai
achomi_culture,10,antq_persian:10,Iran:10,ahel;alamarvdasht;bagh_iran;bastak;dehtal;jahreh;kariyan;karzin
bidayuh_culture,10,antq_mon:10,Southeast Asia:10,hulu_jelai;hulu_pawan;hulu_sambas;ngabang;sambas;sanggau;sekadau;sekayam
huastec_culture,10,antq_teotihuacano:10,Mesoamerica:10,huayacocotla;oxtlipan;ozuluama;panuco;tamtoc;teayotlan;tetzapotitlan;tutotepec
karen_culture,10,antq_mon:10,Southeast Asia:10,ban_pa_la_ta;kanchanaburi;mae_hong_son;mae_sot;muang_yuam;myitta;papun;sariang
kashubian,10,antq_baltic:6|antq_germanic:2|antq_venedi:2,Baltic:6|Eastern Europe:2|Germania:2,bialobork;bytow;czluchow;koscierzyna;lebork;mirochowo;naklo;puck
khas_culture,10,antq_indo_aryan:10,India:10,acham;bajhang;bajura;dullu;jagatipur;jumla;kharpunath;malneta
kohistani,10,antq_saka:10,India:10,agror;baligram;behali;chilas;dasu;dir;jijial;kalam_swat
lampung_culture,10,antq_mon:10,Southeast Asia:10,gunung_sugih;kalianda;kotabumi;krui;lampung;liwa_lampung;menggala;palas_pasemah
mansi_culture,10,antq_xiongnu:10,Steppe:10,armizonskoye;berdyuzhye;chastoozerye;korkina_sloboda;kyzylzhar;polovinnoye;presnowka;stanitsa_kokchetavskaya
nivkh_culture,10,antq_xiongnu:10,Steppe:10,amgun;bitki;bulava;dzhuk;idy_sakhalin;nanghaer;nurgan;porokotan
orang_rimba_culture,10,antq_mon:10,Southeast Asia:10,bingin;karang_brahi;lakitan;lalan;leko;musi;perbatasan;tembesi
pruthenian,10,antq_baltic:10,Baltic:10,balga;brandenburg_prussia;gerdauen;gumbinnen;insterburg;labiau;ryn_poland;szczytno
sacha_p_qulla_culture,10,antq_moche:10,Andes:10,chatuza;congona;huamanpata;huancachaca;karajia;kuelap;lamas;moyobamba
wolof,10,antq_mande:10,West Africa:10,beer_dun;dagana;diourbel;koki;linguere;mboune;ndar;ndiaganiao
xinxiang_culture,10,antq_han:10,China:10,anhua_anhua;changsha;lukou;ningxiang;qiaokou;qingxiang;xiangtan;xiangyin
akan,9,antq_mande:9,West Africa:9,begho;bondoukou;bono_manso;dormaa;fomena;goaso;kumasi;sampa
bai_culture,9,antq_han:9,China:9,heqing;jianchuan;jujin;langqiong;lanzhou_lanzhou;linxi;taihe_dali;wujing
bariba,9,antq_mande:9,West Africa:9,babana;banikoara;bussa;kaiama;kandi;kouande;nikki;segbana
erzya_culture,9,antq_uralic:4|antq_venedi:5,Eastern Europe:5|Finland:4,abdulino;altyshevo;bizhbulyak;krasnoslobodsk;lukoyanov;ruzayevka;sadak;saransk
finnish,9,antq_uralic:9,Finland:9,birkala;hvittis;kymi_fi;porvoo;poytis;sastamala;veckelax;vederlax
garhwali,9,antq_indo_aryan:9,India:9,almora;badrinath;chandpur_garhi;devprayag;dwarahat;kashipur;srinagar_garhwal;thalisain
guangxin_culture,9,antq_han:9,China:9,cangwu;cenxi;dongan;fengchuan;guangning_zhaoqing;rongcheng;sihui;tanjin
haryanvi_culture,9,antq_indo_aryan:5|antq_saka:4,India:9,dadri;hansi;hisar;jind;kaithal;karnal;sadhaura;sarsuti
igbo,9,antq_mande:9,West Africa:9,amaigbo;awka;awka_etiti;azia;enugu;igbo_ukwu;nnewi;onitsha
ligurian,9,antq_latin:9,Rome:9,albenga;finalborgo;genoa;lavagna;novi;rovegno;sarzana;savona
muisca_culture,9,antq_chibchan:9,Northern Andes:9,boiaca;bosa_colombia;caqueza;chicaquicha;choconta;chunsua;duitama;funza
newar_culture,9,antq_indo_aryan:9,India:9,chaudandi;dhading;kathmandu;nuwakot;okhaldhunga;ramechhap;sindhuli;sunkoshi
ngalop_culture,9,antq_indo_aryan:9,India:9,bumthang;daga;jabar_goemba;paro;punakha;thimpu;trongsa;wangdue
popoloca_culture,9,antq_teotihuacano:9,Mesoamerica:9,choapan;ixcatlan;oxitlan;tecamachalco;tehuacan;teotitlan;tepexi;teutila
romagnol,9,antq_latin:9,Rome:9,cesena;faenza;imola;modigliana;montefeltro;pesaro;ravenna;rimini
serer,9,antq_mande:9,West Africa:9,diakhao;djilor;fandene;joal;kahone;portudal;sorokogne;tattaguine
szekely_culture,9,antq_dacian:9,Danube:9,chezdi_osorheiu;covasna;cristuru_secuiesc;felvint;gheorgheni;miercurea_cluc;odorhei;sfantu_gheorghe
braji,8,antq_indo_aryan:8,India:8,agra;chandwar;etawah;jalesar_doab;kanauj;kol;mathura;sargadwari
chanka_culture,8,antq_moche:8,Andes:8,allpas;challwanqa;churkampa;huaman_karpa;llacsapallanca;sondor;tampu_machay;tayaccasa
dalmatian,8,antq_latin:8,Rome:8,brac;dubrovnik;krk;pag;sibenik;slano;split;zadar
edo,8,antq_mande:8,West Africa:8,benin;ewu;idah;ozoro;ugbodu;ukunzu;uromi;uzea
friulian,8,antq_latin:8,Rome:8,aquileia;cividale;gemona;pordenone;spilimbergo;tolmezzo;trieste;udine
gurunsi,8,antq_mande:8,West Africa:8,banfora;daboya;diebougou;leo;loropeni;paga;sideradougou;wa
hiligaynon_culture,8,antq_mon:8,Southeast Asia:8,aklan;araut;bago_negros;batan;binalbagan;ilog;irong_irong;malandog
iban_culture,8,antq_mon:8,Southeast Asia:8,bunut;jongkong;samarahan;santubong;saribas;sebuyau;selimbau;tandang_sari
makhuwa_culture,8,antq_nubian:8,Africa:8,angoche;gomene;ibo;memba;mozambique;nacala;quelimane;somana
melanau_culture,8,antq_mon:8,Southeast Asia:8,barulo;igan;julau;mukah;niah;sarikei;tatau;tutong
muong_culture,8,antq_han:7|antq_mon:1,China:7|Southeast Asia:1,binh_nguyen;dai_man;mang_viet;muang_sam_tai;quan_da_chau;quy_hoa;thu_vat;xam_neua
tagalog_culture,8,antq_mon:8,Southeast Asia:8,bay;binawangan;kainta;kumintang;maynila;pulilan;pulilu;tondo
tongtai_culture,8,antq_han:8,China:8,hailing;haimen;jinghai_tongzhou;juegang;rugao;taixing;xinghua;xixi
tuvan_culture,8,antq_xiongnu:8,Steppe:8,balyktyg;buren_khem;busiyn;den_terek;khemchik;systyg;ulug;usun
zoque_culture,8,antq_teotihuacano:8,Mesoamerica:8,atzaccan;chimalapan;coatlicamac;cuauhcuetzpaltepec;iztachacalapan;suchilapan;tesechoacan;texistepec
bahnar_culture,7,antq_mon:7,Southeast Asia:7,banlung;cat_tien;doh_kromum;idkabue;lumphat;samriddhipuri;song_be
bodo_culture,7,antq_indo_aryan:7,India:7,barpeta;bijni;dhubri;durjaya;hajo;kokrajhar;maibong
changde_culture,7,antq_han:7,China:7,anfu_li;anxiang;liyang_lizhou;longyang;taoyuan;wuling;yuannan
changpa_culture,7,antq_sogdian:7,Central Asia:7,gonkri;namtso_doring;ronglung;serzhik;shantsa;tsedzong;zangdan
chaozhou_culture,7,antq_han:7,China:7,chaoyang;haiyang;huilai;jieyang;pantian;puning;sanrao
chelkans_culture,7,antq_xiongnu:7,Steppe:7,bursol;imakia;siletiteniz;taskayevo;tuzdysor;zhalauly;zhelezin
degar_culture,7,antq_mon:7,Southeast Asia:7,apui;ban_don;bang_keng;dak_lak;di_dinh;ia;kampong_sraka_trey
dhundhari,7,antq_indo_aryan:7,India:7,amber_loc;bayana;dausa;dholpur;karauli;malpura;sambhar
german_transylvanian,7,antq_dacian:6|antq_germanic:1,Danube:6|Germania:1,bistrita;brasov;lubica;medias;sebes;sibiu;sighisoara
harauti,7,antq_indo_aryan:7,India:7,aklera;bundi;gagraun;kota;mandalgarh;mangrol;ranthambore
ho_culture,7,antq_indo_aryan:7,India:7,badamgarh;chaibasa;ghatgaon;jyotipur;keonjhar;khiching;rairangpur
jianning_culture,7,antq_han:7,China:7,datian;jianan;jianyang;nanping;ouning;shaxian;yongan_sha
kabyle,7,antq_latin:7,Rome:7,azeffoun;bejaia;el_kseur;kalaa_of_ait_abbas;kuku;mansouria;tedelles
khandeshi,7,antq_indo_aryan:7,India:7,asirgarh;burhanpur;dharangaon;illichpur;nandurbar;pachora;thalner
kirati_culture,7,antq_indo_aryan:7,India:7,chainpur;dalingkot;halesi;ranibas;siliguri;taplejung;tsunthang
liv,7,antq_baltic:7,Baltic:7,dundaga;kandava;karksi;limbazi;saarde;straupe;tukums
nakh_culture,7,antq_sarmatian:7,Pontic:7,alkhan_kala;argun;naurskaya;nazran;simsir;targim;tsontaroy_kala
orang_laut_culture,7,antq_mon:7,Southeast Asia:7,anambas_islands;badau;daik;natuna_islands;pangkalpinang;subi_islands;tanjungpinang
pipil_culture,7,antq_teotihuacano:7,Mesoamerica:7,chalchuapa;cojutepeque;cuauhtemallan;itzcuintlan;kuskatan;metapan;nonualco
putun_culture,7,antq_teotihuacano:7,Mesoamerica:7,bakhalal;chactemal;chakan_putum;edzna;hochob;kaan_peech;tixchel
ripuarian_franconian,7,antq_latin:7,Rome:7,bitche;saarwerden;saint_avold;sarrebourg;sarreguemines;thionville;wallerfangen
romansh,7,antq_latin:7,Rome:7,chur;davos;disentis;ilanz;silandro;tarasp;zuoz
shina_culture,7,antq_saka:7,India:7,astore;bunji;gilgit;ishkoman;phander;punial;yasin
sudanese_arab,7,antq_nubian:7,Africa:7,abu_hamed;al_jeblien;atbara;berber;kassala;shemkhiya;wadi_el_melik
tavastian,7,antq_uralic:7,Finland:7,forssa;hollola;jamsa;janakkala;liljendal;lohja;tavastehus
telengit_culture,7,antq_xiongnu:7,Steppe:7,altayskoye;mayma;onguday;shemonayevskoye;ust_kalmanka;ust_koksa;zmeinogorsk
teleut_culture,7,antq_xiongnu:7,Steppe:7,berdsk;chesnokovka;dovolnoye;kamen;kolchugino;krivoshchekovo;suzun
tunxi_culture,7,antq_han:7,China:7,chunan;jiande;jingde;jixi_huizhou;tunxi;xiuning;yixian
azeri_culture,6,antq_armenian:2|antq_median:4,Caucasus:2|Iran:4,hadishahr;julfa;marand;nakhchivan;nazok_olya;qarahziaoddin
bambara,6,antq_mande:6,West Africa:6,bai;dia;djenne;macina;san;sanekuy
beja_culture,6,antq_nubian:6,Africa:6,aydhab;badi;deraheib;khawr_baraka;khawr_nubt;suakin
chol_culture,6,antq_teotihuacano:6,Mesoamerica:6,baak;lakam_tun;ocosingo;pochutla;tila;xicallanco
chontal_culture,6,antq_teotihuacano:6,Mesoamerica:6,cupilco;teloloapan;tepecoacuilco;tlachco;tonala_coatzacoalco;zahuatan
curonian,6,antq_baltic:6,Baltic:6,durbe;grobina;kuldiga;piltene;saldus;ventspils
gelao_culture,6,antq_han:6,China:6,dingnan_anshun;huozhu;puan_puan;shuicheng;xibao;zhijin
itza_culture,6,antq_teotihuacano:6,Mesoamerica:6,itzamkanac;namaan;noh_peten;pachan;tatahuitalpan;yax_mutal
jiangshan_culture,6,antq_han:6,China:6,changshan;jiangshan;kaihua;shangrao;yongfeng;yushan_guangxin
khakas_culture,6,antq_xiongnu:6,Steppe:6,abakasnk;askiz;beya;kuznetsk;salair;shushenskoye
kutai_culture,6,antq_mon:6,Southeast Asia:6,jembayan;julau_kutai;kutai_lama;mahakam;muarakaman;tenggarong
maanyan_culture,6,antq_mon:6,Southeast Asia:6,banua_lawas;barito;hulu_paser;karau;tanjungpuri;tuyuk
malao_culture,6,antq_han:6,China:6,anyuan_lianzhou;gaoyang;hepu;lingshan;ruxi;xiaodong
mephaa_culture,6,antq_teotihuacano:6,Mesoamerica:6,chilapa;oapan;tecoanapa;tixtla;tlapan;yopitzinco
nupe,6,antq_mande:6,West Africa:6,bida;jebba;lokoja;mokwa;nupeko;tada
onyotaaka_culture,6,antq_algonquian:6,North America:6,niiohehsane;nikahionhwakowa;oneniote;onenioteke;oswegatchie;teiehonwahkhkwatha
santal_culture,6,antq_indo_aryan:6,India:6,baragram;bhadrak;dumka;ghasipura;jangipur;nilagiri
tharu_culture,6,antq_indo_aryan:6,India:6,chaughera;kailali;kanchapur;kherigarh;lumbini;salianah
tigre,6,antq_nubian:6,Africa:6,agordat;anseba;dahlak;keren;massawa;nafka
wuzhou_culture,6,antq_han:6,China:6,dongyang;jinhua;jinyun;lanxi;wuyi_jinhua;yongkang
xllang_culture,6,antq_moche:6,Andes:6,apurlec;farfan;pakatnamu;sana;tantaricuy;xllang
yulin_culture,6,antq_han:6,China:6,beiliu;bobai;luchuan_rongzhou;nanliu;puning_rongzhou;shahe_bobai
abkhazian_culture,5,antq_armenian:5,Caucasus:5,anacopia;bedia;lata_georgia;pitsunda;sukhumi
anglo_irish,5,antq_gaelic:5,Ireland:5,cork;dublin;new_ross;waterford;wexford
bazombo,5,antq_nubian:5,Africa:5,ambuila;cuilo;damba;nkunga;wembo
bicolano_culture,5,antq_mon:5,Southeast Asia:5,daet;ibalong;naga_bikol;sawangan;vidak
charka_culture,5,antq_moche:2|antq_nazca:3,Andes:5,arque;charka;colquechaca;sachchaa_mukku;sarkajpa
chitrali,5,antq_saka:5,India:5,chitral;mastuj;mulkhow;urtsun;yarkhun
cuitlatec_culture,5,antq_teotihuacano:5,Mesoamerica:5,ajuchitlan;cihuatlan;cutzamala;tecpan;tetellan
dongjiang_culture,5,antq_han:5,China:5,heping;heyuan;lankou;lianping;longchuan_xunzhou
gilak_culture,5,antq_parthian:5,Iran:5,bandar_e_anzali;fuman;lahijan;langarud;rasht
gorontalo_culture,5,antq_mon:5,Southeast Asia:5,atinggola;boalemo;gorontalo;guamonial;paguat
gurma,5,antq_mande:5,West Africa:5,bilanga;matiakoali;nungu;pama;tambaga
huichol_culture,5,antq_teotihuacano:5,Mesoamerica:5,ahuacatlan;huaxtla;sentispac;tzapotzingo;xochitepec
khasi_culture,5,antq_indo_aryan:5,India:5,jaintiapur;lyngngam;nabagram;sohra;sutnga
kongo,5,antq_nubian:5,Africa:5,amulaca;cundi;mbanza_mbata;mbanza_mpangu;mbanza_nsundi
kowoj_culture,5,antq_teotihuacano:5,Mesoamerica:5,chakanbakan;dzibanche;nadzcaan;xpaicheil;xpuhil
leizhou_culture,5,antq_han:5,China:5,baoning;haikang;qingdao;suixi;xuwen
magar_culture,5,antq_indo_aryan:5,India:5,dolpo;gulmi;musikot;pyuthan;takam
matlatzinca_culture,5,antq_teotihuacano:5,Mesoamerica:5,ixtlahuaca;malinalco;ninil;teotenanco;tollohcan
munda_culture,5,antq_indo_aryan:5,India:5,birugarh;bonaigarh;ichagarh;kharsawan;porahat
ouhai_culture,5,antq_han:5,China:5,pingyang;ruian;shuangxi;yongjia;yueqing
rejang_culture,5,antq_mon:5,Southeast Asia:5,bengkulu;hulu_musi;lematang;manna;topos
sama_culture,5,antq_mon:5,Southeast Asia:5,bongao;kota_marudu;kudat;lamitan;sibumbong
