location,historical_name,layer,anchor_kind,culture,source,confidence,decision,audit_flags,note
chartres,Autricum,reviewed_direct,curated,antq_latin,PLE:108778,secure,reviewed_override,,Pleiades exact Autricum settlement point at 48.44566 1.48562; reviewed against the installed Chartres location
chateau_chinon,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateau_du_loir,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateau_gontier,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateau_porcien,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateau_thierry,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateaubriant,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateaudun,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateaulin,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateauneuf_de_randon,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chateauroux,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chatelaudren,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chatellerault,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chatillon_sur_indre,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chatillon_sur_seine,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chatillonaos,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chaumont,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chaumont_vexin,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chaves,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chebba,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cheffia,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chelva,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chenini,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cherbourg,Coriallum,reviewed_identity,roman_identity,antq_unellian,PLE:69493;PLN:69493/coriallum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 69493; AD 1 name resource 69493/coriallum.
cherven,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chiavenna,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chieri,Carreum Potentia,reviewed_identity,roman_identity,antq_cisalpine_gallic,PLE:383611;PLN:383611/carreum-potentia;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 383611; AD 1 name resource 383611/carreum-potentia.
chieti,Teate,reviewed_identity,roman_identity,antq_oscan_umbrian,PLE:413333;PLN:413333/teate;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 413333; AD 1 name resource 413333/teate.
chimay,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chinchilla,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chinchon,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chinon,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chioggia,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chios,Chios,reviewed_direct,curated,antq_greek_koine,PLE:550496,secure,reviewed_override,,Pleiades direct Chios settlement point at 38.37224 26.13298
chiusi,Clusium,reviewed_identity,roman_identity,antq_etruscan,PLE:413096;PLN:413096/clusium;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 413096; AD 1 name resource 413096/clusium.
choiseul,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
chur,Curia,reviewed_identity,roman_identity,antq_helvetian,PLE:187357;PLN:187357/curia;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 187357; AD 1 name resource 187357/curia.
cieza,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cine,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cittacastello,Tifernum Tiberinum,reviewed_identity,roman_identity,antq_oscan_umbrian,PLE:413339;PLN:413339/tifernum-tiberinum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 413339; AD 1 name resource 413339/tifernum-tiberinum.
cittaducale,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ciudad_real,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ciudad_rodrigo,Mirobriga,reviewed_identity,roman_identity,antq_celtiberian,PLE:236546;PLN:236546/mirobriga;R2,tier2,reviewed_override,,Pleiades explicitly associates place 236546 with this modern field; AD 1 name resource 236546/mirobriga.
ciudadela_de_menorca,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cividale,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
civitavecchia,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
clermont,Augustonemetum,reviewed_direct,curated,antq_latin,PLE:138202,secure,reviewed_override,,Pleiades exact Augustonemetum settlement point at 45.77869 3.08589; reviewed against the installed Clermont location
clermont_en_argonne,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
clermont_en_beauvaisis,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cles,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
clusone,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cobeta,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cognac,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
coimbra,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
collo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
colmenar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
comacchio,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
como,Comum,reviewed_direct,curated,antq_latin,PLE:383627,secure,reviewed_override,,Pleiades exact Comum city point at 45.81192 9.08578; reviewed against the installed Como location
condom,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
condorcet,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
conegliano,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
constanta,Tomis,reviewed_direct,curated,antq_thracian,PLE:217016,secure,reviewed_override,,Direct Tomis settlement point at the installed Constanța coastal city proxy.
constantina,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
constantine_ALG,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
consuegra,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
corbeil,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
corbie,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cordoba,Corduba,reviewed_direct,curated,antq_latin,PLE:256128,secure,reviewed_override,,Pleiades exact Corduba Colonia Patricia city point at 37.88468 -4.77917; reviewed against the installed Cordoba location
corfu,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
coria,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
coria_del_rio,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
corinth,Corinthus,reviewed_direct,curated,antq_latin,PLE;P12.2;P8.1,secure,reviewed_override,,Direct Roman Corinth city name
corleone,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
corneto,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
corte,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cortenuova,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cortona,Cortona,reviewed_identity,roman_identity,antq_etruscan,PLE:413106;PLN:413106/cortona;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 413106; AD 1 name resource 413106/cortona.
coruna,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cosenza,Consentia,reviewed_direct,curated,antq_latin,PLE:452308,secure,reviewed_override,,Pleiades exact Consentia settlement point at 39.29539 16.25361; reviewed against the installed Cosenza location
cotrone,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
coucy,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
coutances,Cosedia,reviewed_identity,roman_identity,antq_unellian,PLE:69494;PLN:69494/cosedia;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 69494; AD 1 name resource 69494/cosedia.
covilha,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
crato,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cremona,Cremona,reviewed_direct,curated,antq_latin,PLE:383628,secure,reviewed_override,,Pleiades exact Cremona settlement point at 45.13364 10.02615; reviewed against the installed Cremona location
crepy,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
crikvenica,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
csantangelo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cubuk,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cuellar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cuenca,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cumra,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
cuneo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dakahla,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
damala,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
damanhur,Hermopolis Mikra,reviewed_identity,roman_identity,antq_egyptian,PLE:727123;PLN:727123/hermopolis-mikra;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 727123; AD 1 name resource 727123/hermopolis-mikra.
damietta,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
darney,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
daroca,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
davos,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dax,Aquae Terebellicae,reviewed_identity,roman_identity,antq_elusatian,PLE:246173;PLN:246173/aquae-terebellicae;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 246173; AD 1 name resource 246173/aquae-terebellicae.
debar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
debrc,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
delemont,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
demetrias,Demetrias,reviewed_identity,roman_identity,antq_greek_koine,PLE:540730;PLN:540730/demetrias;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 540730; AD 1 name resource 540730/demetrias.
demirci,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
denia,Dianium,reviewed_identity,roman_identity,antq_contestanian,PLE:265880;PLN:265880/dianium;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 265880; AD 1 name resource 265880/dianium.
derna,Darnis,reviewed_direct,curated,antq_latin,PLE:373780,secure,reviewed_override,,Pleiades direct Darnis settlement point at 32.76608 22.64048
devol,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
devrekani,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
die,Dea Vocontiorum,reviewed_identity,roman_identity,antq_vocontian,PLE:167716;PLN:167716/col-dea-vocontiorum;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 167716; AD 1 name resource 167716/col-dea-vocontiorum.
digne,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dijon,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dinant,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dinar,Apamea,reviewed_identity,roman_identity,antq_cabalian,PLE:638751;PLN:638751/apamea;R2,tier2,reviewed_override,,Pleiades explicitly associates place 638751 with this modern field; AD 1 name resource 638751/apamea.
dinek_keskin,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
disentis,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
doboj,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dobrolak,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dol,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dole,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
domanic,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
domfront,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
domodossola,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
donzy,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dospat,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
douai,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
douz,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
draguignan,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
drama,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
drastar,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dreux,Durocasses,reviewed_identity,roman_identity,antq_carnutian,PLE:108943;PLN:108943/durocasses;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 108943; AD 1 name resource 108943/durocasses.
drijeva,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dubica,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dubrovnik,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dufanat,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dukagjini,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dunkirk,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
dupnitsa,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
durango,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
durres,Dyrrachium,reviewed_direct,curated,antq_latin,PLE;ORB;P8.1,secure,reviewed_override,,Direct Roman Adriatic city name
dursunbey,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ecija,Astigi,reviewed_identity,roman_identity,antq_turdetanian,PLE:255996;PLN:255996/astigi;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 255996; AD 1 name resource 255996/astigi.
edessa,Edessa,reviewed_identity,roman_identity,antq_macedonian,PLE:491585;PLN:491585/edessa;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 491585; AD 1 name resource 491585/edessa.
edfu,Apollonopolis Magna,reviewed_direct,curated,antq_egyptian,PLE:785974,secure,reviewed_override,,Direct Apollonopolis Magna settlement point at the installed Edfu city proxy.
edremit,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
egirdir,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
ejea_de_los_caballeros,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_agheila,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_alamein,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_arish,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_bahnasa,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_balyana,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_burullus,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_buwit,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_escorial,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_fahs,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_jem,Thysdrus,reviewed_direct,curated,antq_latin,PLE:324835,secure,reviewed_override,,Pleiades direct Thysdrus settlement point at 35.29606 10.70758
el_jundi,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_kala,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_kef,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_kseur,Tubusuctu,reviewed_identity,roman_identity,antq_phoenician_punic,PLE:305171;PLN:305171/tubusuctu;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 305171; AD 1 name resource 305171/tubusuctu.
el_ksour,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_mahalla,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_milia,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_qasr,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_qoseir,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
el_tor,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
elassona,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
elbasan,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
elche,Ilici,reviewed_identity,roman_identity,antq_iberian,PLE:265922;PLN:265922/ilici;R2,tier2,reviewed_override,,Reviewed modern-field identity for Pleiades place 265922; AD 1 name resource 265922/ilici.
elizondo,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
elmali,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
elounda,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
elvas,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
emet,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
emirdag,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
enghien,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
enisala,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
entraigues,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
epernay,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
epinal,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
eregli,,vanilla_passthrough,,,,,vanilla_passthrough,insufficient_secure_identity,No sufficiently secure AD 1 identity; EU5 vanilla localization retained.
