tag,name,region,capital,controlled_locations,seeded_locations,placements,productive_placements,civic_service_placements,max_location_placements,source,confidence,note
GET,Getae,Danube,orasul_de_floci,44,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GLS,Gulf Lowland-Sierra Networks,Mesoamerica,xalapa,13,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GMB,Gamabrivii,Germania,meppen,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GMR,Geum River Mahan Communities,Korea,gongju,11,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GMU,Gumo,Tarim,aksu,6,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GNG,Magadha,India,patna,13,4,10,6,4,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GOG,Goguryeo,Korea,ganggye,60,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GOR,Gordyene,Mesopotamia,eruh,1,1,3,2,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GPC,Guerrero Pacific Communities,Mesoamerica,tlapan,13,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GRH,Gerrha,Arabia,al_ahsa,13,4,11,5,6,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GRT,Gorontalo-Tomini Communities,Southeast Asia,gorontalo,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GTC,Gobir Tarka Communities,West Africa,maradi,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GTL,Gutae,Germania,skara,39,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GUR,Gur Iron-Age Communities,West Africa,djougou,16,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
GUT,Gutones,Germania,gdansk,21,7,9,6,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HAD,Hadramawt,Arabia,shabwa,24,5,12,6,6,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HAN,Western Han,China,jingzhao,1881,20,50,24,26,6,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HAU,Haud Pastoralists,Africa,degehabur,22,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HER,Hermunduri,Germania,erfurt,70,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HIM,Himyar,Arabia,dhafar,35,6,16,8,8,5,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HLS,Helisii,Germania,opava,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HLV,Helveconae,Germania,swidnica,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HMR,Han River Mahan Communities,Korea,suwon,16,4,7,5,2,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HOK,Hokuriku Wa Communities,Japan,kaga,26,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HOP,Hopewell Sphere,North America,olentangy,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HRC,Herrera Plateau Communities,Northern Andes,funza,10,3,9,4,5,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HRI,Harii,Germania,zagan,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HRK,Harikela,India,pilak,13,4,8,5,3,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HUA,Huarpa Communities,Andes,huaman_karpa,14,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
HVI,Havana-Illinois Valley Communities,North America,peoria,3,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IAZ,Iazyges,Danube,heves,57,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IBG,Hibernian Brigantes,Ireland,waterford,3,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IBR,Caucasian Iberia,Caucasus,mtskheta,23,5,11,6,5,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ICE,Iceni,Britain,norwich,13,4,7,6,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IGR,Indo-Greek Rump,India,sialkot,33,6,13,7,6,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ILM,Msta-Ilmen Late Dyakovo Horizon,Eastern Europe,borovichi,49,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IMV,Imphal Valley Networks,India,imphal,2,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
ISK,Indo-Scythian Realm,India,attock,139,12,25,14,11,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IVN,Iverni,Ireland,cork,4,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IWL,Yiwulu,Tarim,hami,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IZA,Izapa-Soconusco Center,Mesoamerica,huehuetan,4,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
IZM,Izumo Wa Communities,Japan,izumo,25,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
JAV,Javanese Polities,Southeast Asia,mataram,64,9,13,10,3,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
JGP,Jangladesh Pastoral Networks,India,bhatnir,15,4,9,5,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
JIN,Jinhan,Korea,gyeongju,16,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
JUD,Herodian Judea,Levant,jerusalem,1,1,5,3,2,5,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
JUT,Jutes,Germania,grindsted,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
JZH,Jalisco-Zacatecas Highland Communities,Mesoamerica,huaxtla,15,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KAL,Kalinga,India,kalinganagara,73,9,11,10,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KAS,Kashgar,Tarim,kashgar,8,3,6,5,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KBC,Bomberai South-Coast Communities,Oceania,kaimana,2,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KBI,Kibi Wa Communities,Japan,aki,36,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KCH,Kutch Island-Coast Networks,India,lakhiyarvira,4,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KCN,Patkai-Upper Irrawaddy Highland Networks,Southeast Asia,putao,12,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KCP,Lower Missouri Hopewell Communities,North America,nodaway,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KGT,Kengtung Basin Networks,Southeast Asia,kengtung,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KHM,Proto-Khmer,Southeast Asia,angkor,114,11,16,14,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KHT,Khotan,Tarim,khotan,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KHW,Khwarazm,Central Asia,kath,32,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KIB,Kok-Ing-Nan Basin Networks,Southeast Asia,chiang_rai,10,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KIN,Kindah,Arabia,aqiq_banu_uqayi,44,7,14,8,6,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KJH,Khasi-Jaintia Highlands,India,sohra,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KLY,Klyazma Late Dyakovo Horizon,Finland,vladimir,31,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KNG,Kangju,Central Asia,otrar,56,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KPC,Katsina Plain Communities,West Africa,katsina,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KPM,Kapuas-Melawi River Networks,Southeast Asia,pinoh,11,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KRL,Ladoga Early Iron-Age Horizon,Finland,kizhi,22,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KRM,Karama Valley Metal-Age Communities,Southeast Asia,kalumpang,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KSB,Kinabatangan-Sabah Littoral Networks,Southeast Asia,kinabatangan,11,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KSH,Kashi Janapada,India,varanasi,12,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KSM,Kaushambi Mitra Kingdom,India,prayag,5,2,4,3,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KUC,Kucha,Tarim,kucha,1,1,3,2,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KUL,Kulay Horizon,Steppe,tomsk,19,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KUN,Kuninda,India,kalsi,61,8,11,9,2,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KUS,Kush,Africa,shendi,1,1,4,3,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KWL,Kwale Horizon,Africa,mombasa,21,5,10,6,4,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
KYU,Northern Kyushu Wa Communities,Japan,hakata,55,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LAM,Lower Amur Estuary Networks,Steppe,nurgan,35,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LAN,Langobardi,Germania,winsen,13,4,6,5,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LBD,Left-Bank Zarubintsy Group,Eastern Europe,pereiaslav,23,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LBR,Lata-Barygaza Trade Corridor,India,broach,6,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LCH,Lake Chad Basin Communities,West Africa,daima,33,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LGB,Lugi,Britain,dornoch,1,1,4,3,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LIM,Lima Culture,Andes,rimaq,8,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LMP,Limpopo Hunter-Herder Networks,Africa,impakwe,10,6,10,4,6,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LNC,Lower Niger Communities,West Africa,ife,53,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LNO,Lanao Coast-Lake Communities,Southeast Asia,malabang,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LOU,Loulan,Tarim,loulan,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LPR,Lesser-Poland Przeworsk Group,Eastern Europe,krakow,40,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LRC,Loja Regional-Development Communities,Andes,malacatos,3,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LRP,Lore-Poso Highland Communities,Southeast Asia,loree,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LUG,Lugii,Germania,opole,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LWM,Matano-Luwu Lake-Coast Communities,Southeast Asia,matano,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
LZC,Northwest Luzon Coastal Communities,Southeast Asia,binalatongan,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MAH,Mahan,Korea,naju,22,5,6,6,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MAL,Malay Polities,Southeast Asia,kedah,165,14,15,15,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MAM,Middle Amur Pol'tse Horizon,Steppe,aigun,50,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MAU,Mauretania,Africa,cherchell,128,11,23,13,10,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MAY,Early Maya Polities,Mesoamerica,yax_mutal,61,9,18,10,8,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MBC,Central Michoacan Basin Communities,Mesoamerica,zinapecuaro,11,3,5,4,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MBL,Manila Bay-Laguna Communities,Southeast Asia,maynila,6,2,4,4,0,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MCM,Marcomanni,Germania,prague,40,6,10,7,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MDN,Mudan Basin Communities,Steppe,jixi,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MDR,Mindoro Maritime Communities,Southeast Asia,kalapang,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MHK,Mahakam River Networks,Southeast Asia,muarakaman,13,4,5,5,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MHP,Mohawk Valley Point Peninsula Communities,North America,canajoharie,5,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MIM,Manimi,Germania,legnica,5,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MKS,South Sulawesi Coastal Communities,Southeast Asia,gowa,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MLA,Malao,Africa,berbera,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MLD,Maldivian Atoll Networks,India,male_atoll,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MLL,Malla Assemblies,India,kushinagar,6,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MNG,Middle Niger Communities,West Africa,gao,78,9,10,10,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MNH,North Sulawesi Peninsula Communities,Southeast Asia,manado,4,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MNP,Manapii,Ireland,wexford,4,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MOK,Moskva-Oka Late Dyakovo Culture,Finland,kaluga,59,8,9,9,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MON,Mon Precursors,Southeast Asia,chaisri,36,6,7,7,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MOS,Mosyllon,Africa,qandala,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MRF,Morelos Formative Communities,Mesoamerica,cuauhnahuac,6,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MRG,Margiana,Central Asia,merv,3,2,4,3,1,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MRH,Cajamarca-Marcahuamachuco Communities,Andes,markahuamachuco,6,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MRN,Marwar-Nagaur Caravan Networks,India,osian,22,5,11,6,5,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MRV,Sura-Volga Gorodets Culture,Finland,alatyr,43,7,8,8,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MRW,Meramec-Missouri Woodland Communities,North America,meramec,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MSI,Marsigni,Germania,wroclaw,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MTS,Matsya-Dhundhar Communities,India,ajmer,8,3,7,4,3,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MTT,Maitum-Sarangani Mortuary Communities,Southeast Asia,makar,2,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MUG,Mugilones,Germania,koszalin,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MUN,Mundu,Africa,maydh,1,1,2,2,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MUP,Mande Upland Communities,West Africa,kankan,8,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MUS,Musulamii,Africa,biskra,11,3,5,4,1,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MYB,Moyobamba Foothill Communities,Andes,moyobamba,3,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MYL,Monyul Highlands,India,paro,9,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MZC,Mezcala-Balsas Preurban Communities,Mesoamerica,tepecoacuilco,6,2,3,3,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
MZN,Late Belomorye Culture,Finland,arkhangelsk,7,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NAB,Nabataea,Arabia,shoubak,35,6,13,8,5,5,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NAG,Nagnatae,Ireland,castlebar,5,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NAR,Naristi,Germania,regensburg,77,9,10,10,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NAZ,Nazca,Andes,cahuachi,4,2,5,3,2,3,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NBR,Niah-Brunei Bay Cave-River Communities,Southeast Asia,niah,10,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NCR,Cornavii,Britain,thurso,3,2,5,4,1,4,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
NEB,Northeast Borneo River-Sea Networks,Southeast Asia,sesayap,11,3,4,4,0,2,P12.1;P12.3;P13;PER,contested,Capacity-bounded opening settlement sample; named sites remain in the special-building ledger and absence is not archaeological evidence.
