location,region,operation,source_good,replacement_good
shantsa,Central Asia,anchor,fiber_crops,livestock
shanyang_huaian,China,regional_rule,cotton,fiber_crops
shaoxing,China,regional_rule,wine,fruit
sheikh_hussein,Africa,regional_rule,coffee,medicaments
shenyang,Steppe,regional_rule,rice,millet
shida,Japan,location_allowlist_rule,tea,medicaments
shigatse,Central Asia,anchor,wool,antq_barley
shilong,China,regional_rule,cotton,fiber_crops
shimian,China,location_allowlist_rule,tea,medicaments
shiraz,Iran,anchor,fruit,antq_tree_nuts
shixi,China,location_allowlist_rule,tea,medicaments
shouzhang,China,regional_rule,cotton,fiber_crops
shuicheng,China,location_allowlist_rule,tea,medicaments
shuqra,Arabia,regional_rule,sugar,fiber_crops
shuuchi,Japan,location_allowlist_rule,tea,medicaments
shuyang,China,regional_rule,wine,fruit
sicasica,Andes,environment_rule,cotton,fiber_crops
sidon,Iran,anchor,cotton,dyes
sigam,Southeast Asia,regional_rule,coal,lumber
sighnaq,Central Asia,environment_rule,cotton,fiber_crops
sime,China,location_allowlist_rule,tea,medicaments
simhapura,Southeast Asia,location_allowlist_rule,pepper,medicaments
sishui,China,regional_rule,cotton,fiber_crops
sitavaka,Lanka,anchor,fruit,antq_coconuts
sivas,Anatolia,regional_rule,silk,fiber_crops
siwa,Rome,anchor,fruit,antq_dates
smila,Eastern Europe,regional_rule,coal,lumber
sofala,Africa,regional_rule,sugar,fiber_crops
sohrfiruzan,Iran,environment_rule,cotton,fiber_crops
soltaniyeh,Iran,regional_rule,silk,fiber_crops
somogyvar,Danube,regional_rule,wine,fruit
sopron,Danube,regional_rule,wine,fruit
sotk,Caucasus,regional_rule,cotton,fiber_crops
speyer,Germania,regional_rule,wine,fruit
srinagar,India,location_allowlist_rule,pepper,medicaments
sringeri,India,regional_rule,silk,fiber_crops
srirangam,India,anchor,fiber_crops,antq_sesame
subaytila,Rome,environment_rule,olives,fruit
suining_jing,China,location_allowlist_rule,tea,medicaments
suixi,China,regional_rule,sugar,fiber_crops
sukju,Korea,regional_rule,coal,lumber
sunda_kelapa,Southeast Asia,location_allowlist_rule,pepper,medicaments
sunju,Korea,location_allowlist_rule,tea,medicaments
suwa,Japan,regional_rule,silk,fiber_crops
suwayda,Iran,regional_rule,sugar,fiber_crops
suzhou_fengyang,China,regional_rule,cotton,fiber_crops
syracuse,Rome,regional_rule,sugar,fiber_crops
syvlyush,Danube,regional_rule,wine,fruit
taghit,Africa,anchor,wool,antq_dates
taikang,China,regional_rule,cotton,fiber_crops
taiping_ningguo,China,location_allowlist_rule,tea,medicaments
taizz,Arabia,regional_rule,coffee,medicaments
taka,Japan,regional_rule,cotton,fiber_crops
takai,Japan,regional_rule,silk,fiber_crops
takakusa,Japan,location_allowlist_rule,pepper,medicaments
takaoka,Japan,location_allowlist_rule,tea,medicaments
talak_burma,Southeast Asia,regional_rule,incense,medicaments
tam_dai,China,regional_rule,incense,medicaments
tamacine,Africa,regional_rule,saffron,medicaments
tamdegost,Africa,regional_rule,sugar,fiber_crops
tanjung_palas,Southeast Asia,anchor,cloves,beeswax
tanjungpuri,Southeast Asia,regional_rule,coal,lumber
taranto,Rome,environment_rule,wine,fruit
tarascon,Rome,regional_rule,silk,fiber_crops
tarazona,Rome,environment_rule,olives,fruit
tarsus,Anatolia,anchor,silk,antq_tree_nuts
temasek,Southeast Asia,regional_rule,incense,medicaments
terranovasic,Rome,regional_rule,cotton,fiber_crops
tetouan,Africa,regional_rule,sugar,fiber_crops
teypana,North America,regional_rule,cotton,fiber_crops
thai_nguyen,China,location_allowlist_rule,tea,medicaments
thakhek,Southeast Asia,regional_rule,saltpeter,salt
thanjavur,India,anchor,legumes,antq_sesame
tharrawaddy,Southeast Asia,regional_rule,incense,medicaments
thebes,Rome,regional_rule,silk,fiber_crops
thien_quan,China,regional_rule,sugar,fiber_crops
thoothukudi,India,anchor,livestock,pearls
tianchang,China,regional_rule,cotton,fiber_crops
tidsi,Africa,regional_rule,sugar,fiber_crops
tijis,Rome,environment_rule,olives,fruit
timimoun,Africa,anchor,fruit,antq_dates
tiruccirapalli,India,regional_rule,incense,medicaments
tissamaharama,Lanka,location_allowlist_rule,pepper,medicaments
tissemsilt,Africa,environment_rule,cotton,fiber_crops
tokkuzak,Tarim,regional_rule,cotton,fiber_crops
tolna,Danube,regional_rule,wine,fruit
tomelloso,Rome,environment_rule,wine,fruit
tonami,Japan,regional_rule,saltpeter,salt
tonekabon,Iran,regional_rule,sugar,fiber_crops
tongcheng_wuchang,China,location_allowlist_rule,tea,medicaments
torbat_e_jam,Iran,regional_rule,silk,fiber_crops
toro,Rome,environment_rule,wine,fruit
tortosa,Rome,regional_rule,rice,millet
tosan,China,regional_rule,incense,medicaments
toyoda,Japan,location_allowlist_rule,tea,medicaments
trapessac,Iran,anchor,olives,antq_tree_nuts
trebizond,Rome,regional_rule,silk,fiber_crops
trier,Germania,regional_rule,wine,fruit
trincomalee,Lanka,location_allowlist_rule,pepper,medicaments
tripolitsa,Rome,regional_rule,silk,fiber_crops
trnava,Germania,regional_rule,wine,fruit
truro,Britain,anchor,copper,tin
tsonentsiio,North America,regional_rule,saltpeter,salt
tsuru,Japan,regional_rule,silk,fiber_crops
tudela,Rome,environment_rule,wine,fruit
tungkal,Southeast Asia,anchor,fruit,antq_coconuts
tunliu,China,location_allowlist_rule,pepper,medicaments
tus,Iran,environment_rule,cotton,fiber_crops
tutuala,Southeast Asia,anchor,fruit,antq_coconuts
ukbara,Iran,anchor,fruit,antq_sesame
ukhaa_khudag,Steppe,regional_rule,coal,lumber
unju,Korea,regional_rule,silk,fiber_crops
urach,Germania,regional_rule,wine,fruit
urfa,Mesopotamia,regional_rule,silk,fiber_crops
utondwe,Africa,regional_rule,rice,millet
valencia,Rome,regional_rule,silk,fiber_crops
valladolid,Rome,environment_rule,wine,fruit
vang_vieng,Southeast Asia,regional_rule,saltpeter,salt
vauvau,Oceania,anchor,fruit,antq_coconuts
velez_malaga,Rome,regional_rule,sugar,fiber_crops
vembar,India,location_allowlist_rule,pepper,medicaments
venafro,Rome,environment_rule,olives,fruit
vercelli,Rome,regional_rule,rice,millet
veria,Rome,regional_rule,cotton,fiber_crops
vesoul,Rome,regional_rule,coal,lumber
villablino,Rome,regional_rule,coal,lumber
villanueva_de_la_serena,Rome,environment_rule,olives,fruit
villarobledo,Rome,environment_rule,wine,fruit
villena,Rome,environment_rule,olives,fruit
voitsberg,Rome,regional_rule,coal,lumber
walden,Britain,regional_rule,saffron,medicaments
wanggika,Steppe,location_allowlist_rule,pepper,medicaments
watarai,Japan,location_allowlist_rule,tea,medicaments
wazirabad,India,regional_rule,saltpeter,salt
weinan,China,regional_rule,cotton,fiber_crops
weiqing,China,regional_rule,cotton,fiber_crops
weishi,China,regional_rule,cotton,fiber_crops
wengyuan,China,location_allowlist_rule,tea,medicaments
wenxian_gongchang,China,location_allowlist_rule,tea,medicaments
wimihsoorita,North America,regional_rule,coal,lumber
worms,Germania,regional_rule,wine,fruit
wujiang,China,regional_rule,sugar,fiber_crops
wuping,China,location_allowlist_rule,tea,medicaments
wurzburg,Germania,regional_rule,wine,fruit
wuxi,China,regional_rule,cotton,fiber_crops
xanthia,Balkans,regional_rule,cotton,fiber_crops
xiajin,China,regional_rule,cotton,fiber_crops
xiaogan,China,regional_rule,wine,fruit
xiaozhenan,China,regional_rule,elephants,livestock
xingzhong,China,regional_rule,wine,fruit
xinhui,China,location_allowlist_rule,pepper,medicaments
xintian,China,location_allowlist_rule,tea,medicaments
xinxing_nanen,China,location_allowlist_rule,tea,medicaments
xinyang,China,location_allowlist_rule,tea,medicaments
xiuning,China,location_allowlist_rule,tea,medicaments
xixiang,China,location_allowlist_rule,tea,medicaments
xuancheng,China,regional_rule,cotton,fiber_crops
xuanhua,China,location_allowlist_rule,pepper,medicaments
xuanhua_nanning,China,regional_rule,sugar,fiber_crops
yakhi,Steppe,regional_rule,coal,lumber
yanbu,Arabia,regional_rule,saffron,medicaments
yanci,China,regional_rule,cotton,fiber_crops
yangchun,China,regional_rule,cotton,fiber_crops
yangikent,Central Asia,environment_rule,cotton,fiber_crops
yarkand,Tarim,regional_rule,cotton,fiber_crops
yasukand,Iran,environment_rule,wine,fruit
yazd,Iran,regional_rule,silk,fiber_crops
yeongdeok,Korea,regional_rule,coal,lumber
yeongdong,Korea,regional_rule,cotton,fiber_crops
yeongyang,Korea,location_allowlist_rule,pepper,medicaments
yeonsan,Korea,location_allowlist_rule,pepper,medicaments
yihuang,China,location_allowlist_rule,tea,medicaments
yingde,China,location_allowlist_rule,tea,medicaments
yique,China,regional_rule,cotton,fiber_crops
yixian,China,location_allowlist_rule,tea,medicaments
yongchuan,China,location_allowlist_rule,pepper,medicaments
yongning,China,location_allowlist_rule,tea,medicaments
youdian,China,location_allowlist_rule,tea,medicaments
yuanmou,China,regional_rule,cotton,fiber_crops
yuhang,China,location_allowlist_rule,tea,medicaments
yusha,China,regional_rule,cotton,fiber_crops
yuzhou,China,location_allowlist_rule,pepper,medicaments
zanzibar,Africa,anchor,fruit,antq_coconuts
zarand_iran,Iran,environment_rule,cotton,fiber_crops
zaranj,Iran,regional_rule,silk,fiber_crops
zardab,Caucasus,regional_rule,cotton,fiber_crops
zemlungrad,Rome,regional_rule,coal,lumber
zenica,Rome,regional_rule,coal,lumber
zhangpu,China,regional_rule,cotton,fiber_crops
zhenfeng,China,location_allowlist_rule,pepper,medicaments
zhenghe,China,location_allowlist_rule,tea,medicaments
zhengjiatun,Steppe,regional_rule,rice,millet
zhydachiv,Eastern Europe,regional_rule,coal,lumber
zielona_gora,Germania,regional_rule,wine,fruit
zmiiv,Pontic,regional_rule,saltpeter,salt
zompanco,Mesoamerica,regional_rule,incense,medicaments
zozan,Iran,regional_rule,sugar,fiber_crops
zwickau,Germania,regional_rule,coal,lumber

# counts
# anchor:beeswax->goods_gold,1
# anchor:clay->silk,1
# anchor:cloves->beeswax,1
# anchor:cloves->fish,1
# anchor:cloves->lumber,1
# anchor:coffee->incense,1
# anchor:copper->tin,1
# anchor:cotton->antq_sesame,2
# anchor:cotton->dyes,1
# anchor:fiber_crops->antq_sesame,1
# anchor:fiber_crops->livestock,1
# anchor:fish->pepper,1
# anchor:fruit->antq_camels,1
# anchor:fruit->antq_coconuts,8
# anchor:fruit->antq_dates,5
# anchor:fruit->antq_sesame,2
# anchor:fruit->antq_tree_nuts,3
# anchor:gems->antq_jade,1
# anchor:gems->incense,1
# anchor:goods_gold->livestock,1
# anchor:legumes->antq_naphtha,1
# anchor:legumes->antq_sesame,1
# anchor:livestock->pearls,1
# anchor:lumber->pearls,1
# anchor:marble->iron,1
# anchor:mercury->fish,1
# anchor:olives->antq_sesame,1
# anchor:olives->antq_tree_nuts,2
# anchor:rice->antq_dates,1
# anchor:rice->silk,1
# anchor:salt->antq_papyrus,1
# anchor:salt->pearls,1
# anchor:salt->silver,1
# anchor:silk->antq_sesame,1
# anchor:silk->antq_tree_nuts,3
# anchor:sugar->antq_dates,1
# anchor:sugar->fish,1
# anchor:wheat->antq_barley,1
# anchor:wheat->antq_silphium,1
# anchor:wool->antq_barley,2
# anchor:wool->antq_dates,1
# environment_rule:cotton->fiber_crops,27
# environment_rule:olives->fruit,25
# environment_rule:sugar->fiber_crops,9
# environment_rule:wine->fruit,25
# location_allowlist_rule:cloves->medicaments,10
# location_allowlist_rule:pepper->medicaments,58
# location_allowlist_rule:tea->medicaments,80
# regional_rule:coal->lumber,49
# regional_rule:coffee->medicaments,8
# regional_rule:cotton->fiber_crops,102
# regional_rule:elephants->livestock,2
# regional_rule:incense->medicaments,33
# regional_rule:olives->fruit,4
# regional_rule:rice->millet,19
# regional_rule:saffron->medicaments,11
# regional_rule:saltpeter->salt,32
# regional_rule:silk->fiber_crops,106
# regional_rule:sugar->fiber_crops,63
# regional_rule:wine->fruit,44

# runtime worker seeds
# cagliari,wheat,3
# faiyum,wheat,6
# sousse,wheat,5
# syracuse,wheat,4
