advance,name,age,depth,track,profile,scope,role,modifier,stacking_family,engine_category,unit,ui_decimals,script_value,display_value,representative_baseline_impact,vanilla_advance_min,vanilla_advance_max,modifier_definition,historical_source
antq_dnieper_earthwork_refuges_supply,"Vistula, Dnieper, and Eastern European: Dnieper Earthwork Refuges Supply",age_4_reformation,3,warfare,slavic_eastern,slavic_eastern,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_dnieper_earthwork_refuges_drill,"Vistula, Dnieper, and Eastern European: Dnieper Earthwork Refuges Drill",age_4_reformation,3,warfare,slavic_eastern,slavic_eastern,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_dnieper_earthwork_refuges_command,"Vistula, Dnieper, and Eastern European: Dnieper Earthwork Refuges Command",age_4_reformation,4,warfare,slavic_eastern,slavic_eastern,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_antae_river_war_leagues_scouts,"Vistula, Dnieper, and Eastern European: Antae River War Leagues Scouts",age_6_revolutions,1,warfare,slavic_eastern,slavic_eastern,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_antae_river_war_leagues_musters,"Vistula, Dnieper, and Eastern European: Antae River War Leagues Musters",age_6_revolutions,2,warfare,slavic_eastern,slavic_eastern,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_antae_river_war_leagues_supply,"Vistula, Dnieper, and Eastern European: Antae River War Leagues Supply",age_6_revolutions,3,warfare,slavic_eastern,slavic_eastern,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_antae_river_war_leagues_drill,"Vistula, Dnieper, and Eastern European: Antae River War Leagues Drill",age_6_revolutions,3,warfare,slavic_eastern,slavic_eastern,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_antae_river_war_leagues_command,"Vistula, Dnieper, and Eastern European: Antae River War Leagues Command",age_6_revolutions,4,warfare,slavic_eastern,slavic_eastern,capstone,discipline,discipline,unit,percent,2,0.03,3.00%,100 reference units -> 103.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.7;P15;ENC-NEEU
antq_kushan_parthian_armoured_hosts_scouts,Iranian: Kushan Parthian Armoured Hosts Scouts,age_2_renaissance,1,warfare,iranian,iranian,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_kushan_parthian_armoured_hosts_musters,Iranian: Kushan Parthian Armoured Hosts Musters,age_2_renaissance,2,warfare,iranian,iranian,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_kushan_parthian_armoured_hosts_supply,Iranian: Kushan Parthian Armoured Hosts Supply,age_2_renaissance,3,warfare,iranian,iranian,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_kushan_parthian_armoured_hosts_drill,Iranian: Kushan Parthian Armoured Hosts Drill,age_2_renaissance,3,warfare,iranian,iranian,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_kushan_parthian_armoured_hosts_command,Iranian: Kushan Parthian Armoured Hosts Command,age_2_renaissance,4,warfare,iranian,iranian,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_ardashir_royal_armies_scouts,Iranian: Ardashir Royal Armies Scouts,age_3_discovery,1,warfare,iranian,iranian,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_ardashir_royal_armies_musters,Iranian: Ardashir Royal Armies Musters,age_3_discovery,2,warfare,iranian,iranian,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_ardashir_royal_armies_supply,Iranian: Ardashir Royal Armies Supply,age_3_discovery,3,warfare,iranian,iranian,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_ardashir_royal_armies_drill,Iranian: Ardashir Royal Armies Drill,age_3_discovery,3,warfare,iranian,iranian,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_ardashir_royal_armies_command,Iranian: Ardashir Royal Armies Command,age_3_discovery,4,warfare,iranian,iranian,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_shapur_combined_field_forces_scouts,Iranian: Shapur Combined Field Forces Scouts,age_4_reformation,1,warfare,iranian,iranian,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_shapur_combined_field_forces_musters,Iranian: Shapur Combined Field Forces Musters,age_4_reformation,2,warfare,iranian,iranian,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_shapur_combined_field_forces_supply,Iranian: Shapur Combined Field Forces Supply,age_4_reformation,3,warfare,iranian,iranian,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_shapur_combined_field_forces_drill,Iranian: Shapur Combined Field Forces Drill,age_4_reformation,3,warfare,iranian,iranian,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_shapur_combined_field_forces_command,Iranian: Shapur Combined Field Forces Command,age_4_reformation,4,warfare,iranian,iranian,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_late_iranian_border_commands_scouts,Iranian: Late Iranian Border Commands Scouts,age_5_absolutism,1,warfare,iranian,iranian,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_late_iranian_border_commands_musters,Iranian: Late Iranian Border Commands Musters,age_5_absolutism,2,warfare,iranian,iranian,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_late_iranian_border_commands_supply,Iranian: Late Iranian Border Commands Supply,age_5_absolutism,3,warfare,iranian,iranian,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_late_iranian_border_commands_drill,Iranian: Late Iranian Border Commands Drill,age_5_absolutism,3,warfare,iranian,iranian,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_late_iranian_border_commands_command,Iranian: Late Iranian Border Commands Command,age_5_absolutism,4,warfare,iranian,iranian,capstone,discipline,discipline,unit,percent,2,0.03,3.00%,100 reference units -> 103.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.2;P15;CAH-XI;CAH-XII
antq_xiongnu_deep_remount_systems_scouts,Inner Asian Steppe: Xiongnu Deep Remount Systems Scouts,age_2_renaissance,1,warfare,inner_asian_steppe,inner_asian_steppe,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xiongnu_deep_remount_systems_musters,Inner Asian Steppe: Xiongnu Deep Remount Systems Musters,age_2_renaissance,2,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xiongnu_deep_remount_systems_supply,Inner Asian Steppe: Xiongnu Deep Remount Systems Supply,age_2_renaissance,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xiongnu_deep_remount_systems_drill,Inner Asian Steppe: Xiongnu Deep Remount Systems Drill,age_2_renaissance,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xiongnu_deep_remount_systems_command,Inner Asian Steppe: Xiongnu Deep Remount Systems Command,age_2_renaissance,4,warfare,inner_asian_steppe,inner_asian_steppe,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xianbei_mobile_commands_scouts,Inner Asian Steppe: Xianbei Mobile Commands Scouts,age_3_discovery,1,warfare,inner_asian_steppe,inner_asian_steppe,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xianbei_mobile_commands_musters,Inner Asian Steppe: Xianbei Mobile Commands Musters,age_3_discovery,2,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xianbei_mobile_commands_supply,Inner Asian Steppe: Xianbei Mobile Commands Supply,age_3_discovery,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xianbei_mobile_commands_drill,Inner Asian Steppe: Xianbei Mobile Commands Drill,age_3_discovery,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_xianbei_mobile_commands_command,Inner Asian Steppe: Xianbei Mobile Commands Command,age_3_discovery,4,warfare,inner_asian_steppe,inner_asian_steppe,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_hunnic_confederate_cavalry_scouts,Inner Asian Steppe: Hunnic Confederate Cavalry Scouts,age_4_reformation,1,warfare,inner_asian_steppe,inner_asian_steppe,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_hunnic_confederate_cavalry_musters,Inner Asian Steppe: Hunnic Confederate Cavalry Musters,age_4_reformation,2,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_hunnic_confederate_cavalry_supply,Inner Asian Steppe: Hunnic Confederate Cavalry Supply,age_4_reformation,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_hunnic_confederate_cavalry_drill,Inner Asian Steppe: Hunnic Confederate Cavalry Drill,age_4_reformation,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_hunnic_confederate_cavalry_command,Inner Asian Steppe: Hunnic Confederate Cavalry Command,age_4_reformation,4,warfare,inner_asian_steppe,inner_asian_steppe,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_late_steppe_siege_adaptation_scouts,Inner Asian Steppe: Late Steppe Siege Adaptation Scouts,age_6_revolutions,1,warfare,inner_asian_steppe,inner_asian_steppe,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_late_steppe_siege_adaptation_musters,Inner Asian Steppe: Late Steppe Siege Adaptation Musters,age_6_revolutions,2,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_late_steppe_siege_adaptation_supply,Inner Asian Steppe: Late Steppe Siege Adaptation Supply,age_6_revolutions,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_late_steppe_siege_adaptation_drill,Inner Asian Steppe: Late Steppe Siege Adaptation Drill,age_6_revolutions,3,warfare,inner_asian_steppe,inner_asian_steppe,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_late_steppe_siege_adaptation_command,Inner Asian Steppe: Late Steppe Siege Adaptation Command,age_6_revolutions,4,warfare,inner_asian_steppe,inner_asian_steppe,capstone,discipline,discipline,unit,percent,2,0.03,3.00%,100 reference units -> 103.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.8;P15;CAH-XI;CAH-XII
antq_savanna_iron_spear_musters_scouts,Sub-Saharan African: Savanna Iron Spear Musters Scouts,age_2_renaissance,1,warfare,subsaharan,subsaharan,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_savanna_iron_spear_musters_musters,Sub-Saharan African: Savanna Iron Spear Musters Musters,age_2_renaissance,2,warfare,subsaharan,subsaharan,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_savanna_iron_spear_musters_supply,Sub-Saharan African: Savanna Iron Spear Musters Supply,age_2_renaissance,3,warfare,subsaharan,subsaharan,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_savanna_iron_spear_musters_drill,Sub-Saharan African: Savanna Iron Spear Musters Drill,age_2_renaissance,3,warfare,subsaharan,subsaharan,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_savanna_iron_spear_musters_command,Sub-Saharan African: Savanna Iron Spear Musters Command,age_2_renaissance,4,warfare,subsaharan,subsaharan,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_forest_corridor_war_parties_scouts,Sub-Saharan African: Forest Corridor War Parties Scouts,age_3_discovery,1,warfare,subsaharan,subsaharan,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_forest_corridor_war_parties_musters,Sub-Saharan African: Forest Corridor War Parties Musters,age_3_discovery,2,warfare,subsaharan,subsaharan,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_forest_corridor_war_parties_supply,Sub-Saharan African: Forest Corridor War Parties Supply,age_3_discovery,3,warfare,subsaharan,subsaharan,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_forest_corridor_war_parties_drill,Sub-Saharan African: Forest Corridor War Parties Drill,age_3_discovery,3,warfare,subsaharan,subsaharan,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_forest_corridor_war_parties_command,Sub-Saharan African: Forest Corridor War Parties Command,age_3_discovery,4,warfare,subsaharan,subsaharan,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_sahelian_mounted_screening_scouts,Sub-Saharan African: Sahelian Mounted Screening Scouts,age_4_reformation,1,warfare,subsaharan,subsaharan,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_sahelian_mounted_screening_musters,Sub-Saharan African: Sahelian Mounted Screening Musters,age_4_reformation,2,warfare,subsaharan,subsaharan,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_sahelian_mounted_screening_supply,Sub-Saharan African: Sahelian Mounted Screening Supply,age_4_reformation,3,warfare,subsaharan,subsaharan,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_sahelian_mounted_screening_drill,Sub-Saharan African: Sahelian Mounted Screening Drill,age_4_reformation,3,warfare,subsaharan,subsaharan,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_sahelian_mounted_screening_command,Sub-Saharan African: Sahelian Mounted Screening Command,age_4_reformation,4,warfare,subsaharan,subsaharan,major,discipline,discipline,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_regional_refuge_fortifications_scouts,Sub-Saharan African: Regional Refuge Fortifications Scouts,age_6_revolutions,1,warfare,subsaharan,subsaharan,minor,levy_recovery_modifier,levy_recovery_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.10,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_regional_refuge_fortifications_musters,Sub-Saharan African: Regional Refuge Fortifications Musters,age_6_revolutions,2,warfare,subsaharan,subsaharan,standard,army_logistics_distance_modifier,army_logistics_distance_modifier,unit,percent,2,0.05,5.00%,100 reference units -> 105.00,0.05,0.25,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_regional_refuge_fortifications_supply,Sub-Saharan African: Regional Refuge Fortifications Supply,age_6_revolutions,3,warfare,subsaharan,subsaharan,standard,army_maintenance_efficiency,army_maintenance_efficiency,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.10,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_regional_refuge_fortifications_drill,Sub-Saharan African: Regional Refuge Fortifications Drill,age_6_revolutions,3,warfare,subsaharan,subsaharan,standard,land_morale_modifier,land_morale_modifier,unit,percent,2,0.02,2.00%,100 reference units -> 102.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_regional_refuge_fortifications_command,Sub-Saharan African: Regional Refuge Fortifications Command,age_6_revolutions,4,warfare,subsaharan,subsaharan,capstone,discipline,discipline,unit,percent,2,0.03,3.00%,100 reference units -> 103.00,0.025,0.05,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.5;P15;CAH-XI;CAH-XII
antq_monsoon_navigation,Monsoon Navigation,age_1_traditions,0,exchange,shared,shared,minor,trade_range_modifier,trade_range_modifier,country,percent,2,0.03,3.00%,100 reference units -> 103.00,0.10,0.50,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_red_sea_piloting,Red Sea Piloting,age_1_traditions,0,exchange,shared,shared,minor,trade_range_modifier,trade_range_modifier,country,percent,2,0.03,3.00%,100 reference units -> 103.00,0.10,0.50,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P15;CAH-XI;CAH-XII
antq_caravan_accounting,Indic: Caravan Accounting,age_1_traditions,1,exchange,indic,indic,minor,merchant_maintenance_efficiency,merchant_maintenance_efficiency,country,percent,2,0.01,1.00%,100 reference units -> 101.00,0.05,0.20,<GAME_ROOT>/game/main_menu/common/modifier_type_definitions/00_modifier_types.txt,P8.4;P15;CAH-XI
