tag,name,tier,kind,age,age_years,visible_cards,visible_total_points,visible_mean_points,visible_min_points,visible_max_points,opening_eligible_cards,opening_eligible_min_points,opening_eligible_max_points,status
CRV,Carvetii,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
CRV,Carvetii,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
CRV,Carvetii,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
CRV,Carvetii,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
CRV,Carvetii,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
CRV,Carvetii,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
CSB,Central-Southern Borneo River Networks,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
CSB,Central-Southern Borneo River Networks,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
CSB,Central-Southern Borneo River Networks,3,sop,age_3_discovery,92,32,6612.50,206.64,175.00,225.00,0,,,pass
CSB,Central-Southern Borneo River Networks,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
CSB,Central-Southern Borneo River Networks,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
CSB,Central-Southern Borneo River Networks,3,sop,age_6_revolutions,82,18,6375.00,354.17,325.00,375.00,0,,,pass
CTP,Changtang Pastoral Networks,3,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
CTP,Changtang Pastoral Networks,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
CTP,Changtang Pastoral Networks,3,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
CTP,Changtang Pastoral Networks,3,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
CTP,Changtang Pastoral Networks,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
CTP,Changtang Pastoral Networks,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
CTU,Chattuarii,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
CTU,Chattuarii,3,sop,age_2_renaissance,96,32,5012.50,156.64,125.00,175.00,0,,,pass
CTU,Chattuarii,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
CTU,Chattuarii,3,sop,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
CTU,Chattuarii,3,sop,age_5_absolutism,19,25,7600.00,304.00,275.00,325.00,0,,,pass
CTU,Chattuarii,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
CUI,Cuicuilco,3,country,age_1_traditions,95,32,3200.00,100.00,75.00,125.00,13,100.00,125.00,pass
CUI,Cuicuilco,3,country,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
CUI,Cuicuilco,3,country,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
CUI,Cuicuilco,3,country,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
CUI,Cuicuilco,3,country,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
CUI,Cuicuilco,3,country,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
CXR,Central Luzon River,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
CXR,Central Luzon River,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
CXR,Central Luzon River,3,sop,age_3_discovery,92,32,6612.50,206.64,175.00,225.00,0,,,pass
CXR,Central Luzon River,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
CXR,Central Luzon River,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
CXR,Central Luzon River,3,sop,age_6_revolutions,82,18,6375.00,354.17,325.00,375.00,0,,,pass
DAC,Dacian Kingdoms,2,country,age_1_traditions,95,47,4725.00,100.53,75.00,125.00,19,87.50,125.00,pass
DAC,Dacian Kingdoms,2,country,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DAC,Dacian Kingdoms,2,country,age_3_discovery,92,47,9637.50,205.05,175.00,225.00,0,,,pass
DAC,Dacian Kingdoms,2,country,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DAC,Dacian Kingdoms,2,country,age_5_absolutism,19,32,9762.50,305.08,275.00,325.00,0,,,pass
DAC,Dacian Kingdoms,2,country,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DAM,Damnonii,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DAM,Damnonii,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DAM,Damnonii,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DAM,Damnonii,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DAM,Damnonii,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DAM,Damnonii,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DAR,Darini,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DAR,Darini,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DAR,Darini,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DAR,Darini,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DAR,Darini,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DAR,Darini,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DAY,Dayuan,2,country,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,18,112.50,125.00,pass
DAY,Dayuan,2,country,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
DAY,Dayuan,2,country,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
DAY,Dayuan,2,country,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
DAY,Dayuan,2,country,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
DAY,Dayuan,2,country,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
DCT,Decantae,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DCT,Decantae,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DCT,Decantae,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DCT,Decantae,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DCT,Decantae,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DCT,Decantae,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DDV,Doyang-Dhansiri Valley,3,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
DDV,Doyang-Dhansiri Valley,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
DDV,Doyang-Dhansiri Valley,3,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
DDV,Doyang-Dhansiri Valley,3,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
DDV,Doyang-Dhansiri Valley,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
DDV,Doyang-Dhansiri Valley,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
DEC,Deceangli,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DEC,Deceangli,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DEC,Deceangli,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DEC,Deceangli,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DEC,Deceangli,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DEC,Deceangli,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DEM,Demetae,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DEM,Demetae,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DEM,Demetae,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DEM,Demetae,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DEM,Demetae,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DEM,Demetae,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DGU,Daga Highland,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
DGU,Daga Highland,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
DGU,Daga Highland,3,sop,age_3_discovery,92,32,6612.50,206.64,175.00,225.00,0,,,pass
DGU,Daga Highland,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
DGU,Daga Highland,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
DGU,Daga Highland,3,sop,age_6_revolutions,82,18,6375.00,354.17,325.00,375.00,0,,,pass
DJN,Djenne-Djenno,2,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
DJN,Djenne-Djenno,2,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
DJN,Djenne-Djenno,2,sop,age_3_discovery,92,50,10250.00,205.00,175.00,225.00,0,,,pass
DJN,Djenne-Djenno,2,sop,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
DJN,Djenne-Djenno,2,sop,age_5_absolutism,19,24,7375.00,307.29,275.00,325.00,0,,,pass
DJN,Djenne-Djenno,2,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
DKS,Dakshina Kosala,2,country,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,16,112.50,125.00,pass
DKS,Dakshina Kosala,2,country,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
DKS,Dakshina Kosala,2,country,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
DKS,Dakshina Kosala,2,country,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
DKS,Dakshina Kosala,2,country,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
DKS,Dakshina Kosala,2,country,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
DNG,Dingling,2,sop,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,14,87.50,125.00,pass
DNG,Dingling,2,sop,age_2_renaissance,96,42,6587.50,156.85,125.00,175.00,0,,,pass
DNG,Dingling,2,sop,age_3_discovery,92,42,8687.50,206.85,175.00,225.00,0,,,pass
DNG,Dingling,2,sop,age_4_reformation,92,46,11762.50,255.71,225.00,275.00,0,,,pass
DNG,Dingling,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DNG,Dingling,2,sop,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
DNH,Danhuan,3,subject,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,15,100.00,125.00,pass
DNH,Danhuan,3,subject,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
DNH,Danhuan,3,subject,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
DNH,Danhuan,3,subject,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
DNH,Danhuan,3,subject,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
DNH,Danhuan,3,subject,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
DNP,Desna Zarubintsy,3,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DNP,Desna Zarubintsy,3,sop,age_2_renaissance,96,37,5800.00,156.76,125.00,175.00,0,,,pass
DNP,Desna Zarubintsy,3,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DNP,Desna Zarubintsy,3,sop,age_4_reformation,92,37,9500.00,256.76,225.00,275.00,0,,,pass
DNP,Desna Zarubintsy,3,sop,age_5_absolutism,19,14,4300.00,307.14,275.00,325.00,0,,,pass
DNP,Desna Zarubintsy,3,sop,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
DOB,Dobunni,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DOB,Dobunni,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DOB,Dobunni,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DOB,Dobunni,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DOB,Dobunni,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DOB,Dobunni,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DOR,Dorset,3,sop,age_1_traditions,95,32,3200.00,100.00,75.00,125.00,14,87.50,125.00,pass
DOR,Dorset,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
DOR,Dorset,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
DOR,Dorset,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
DOR,Dorset,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
DOR,Dorset,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DRC,Drichu Highland Network,3,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
DRC,Drichu Highland Network,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
DRC,Drichu Highland Network,3,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
DRC,Drichu Highland Network,3,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
DRC,Drichu Highland Network,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
DRC,Drichu Highland Network,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
DUM,Dumnonii,1,country,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,15,112.50,125.00,pass
DUM,Dumnonii,1,country,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DUM,Dumnonii,1,country,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DUM,Dumnonii,1,country,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DUM,Dumnonii,1,country,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DUM,Dumnonii,1,country,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
DUR,Durotriges,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
DUR,Durotriges,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
DUR,Durotriges,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
DUR,Durotriges,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
DUR,Durotriges,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
DUR,Durotriges,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
EBL,Eblani,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
EBL,Eblani,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
EBL,Eblani,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
EBL,Eblani,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
EBL,Eblani,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
EBL,Eblani,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
EHW,Eastern Honshu,3,sop,age_1_traditions,95,37,3725.00,100.68,75.00,125.00,15,87.50,125.00,pass
EHW,Eastern Honshu,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
EHW,Eastern Honshu,3,sop,age_3_discovery,92,41,8437.50,205.79,175.00,225.00,0,,,pass
EHW,Eastern Honshu,3,sop,age_4_reformation,92,41,10475.00,255.49,225.00,275.00,0,,,pass
EHW,Eastern Honshu,3,sop,age_5_absolutism,19,16,4887.50,305.47,275.00,325.00,0,,,pass
EHW,Eastern Honshu,3,sop,age_6_revolutions,82,26,9262.50,356.25,325.00,375.00,0,,,pass
ELY,Elymais,1,subject,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,18,112.50,125.00,pass
ELY,Elymais,1,subject,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
ELY,Elymais,1,subject,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
ELY,Elymais,1,subject,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
ELY,Elymais,1,subject,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
ELY,Elymais,1,subject,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
EME,Emesa,1,subject,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,13,112.50,125.00,pass
EME,Emesa,1,subject,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
EME,Emesa,1,subject,age_3_discovery,92,36,7400.00,205.56,175.00,225.00,0,,,pass
EME,Emesa,1,subject,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
EME,Emesa,1,subject,age_5_absolutism,19,14,4300.00,307.14,275.00,325.00,0,,,pass
EME,Emesa,1,subject,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
EMR,Early Mariana Island,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
EMR,Early Mariana Island,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
EMR,Early Mariana Island,3,sop,age_3_discovery,92,32,6612.50,206.64,175.00,225.00,0,,,pass
EMR,Early Mariana Island,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
EMR,Early Mariana Island,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
EMR,Early Mariana Island,3,sop,age_6_revolutions,82,18,6375.00,354.17,325.00,375.00,0,,,pass
EPC,Eastern Plateau Corridor Network,3,sop,age_1_traditions,95,37,3737.50,101.01,75.00,125.00,15,87.50,125.00,pass
EPC,Eastern Plateau Corridor Network,3,sop,age_2_renaissance,96,41,6387.50,155.79,125.00,175.00,0,,,pass
EPC,Eastern Plateau Corridor Network,3,sop,age_3_discovery,92,41,8425.00,205.49,175.00,225.00,0,,,pass
EPC,Eastern Plateau Corridor Network,3,sop,age_4_reformation,92,45,11475.00,255.00,225.00,275.00,0,,,pass
EPC,Eastern Plateau Corridor Network,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
EPC,Eastern Plateau Corridor Network,3,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
EPD,Epidii,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
EPD,Epidii,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
EPD,Epidii,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
EPD,Epidii,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
EPD,Epidii,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
EPD,Epidii,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
EPI,Epi-Olmec,3,sop,age_1_traditions,95,32,3200.00,100.00,75.00,125.00,14,87.50,125.00,pass
EPI,Epi-Olmec,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
EPI,Epi-Olmec,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
EPI,Epi-Olmec,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
EPI,Epi-Olmec,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
EPI,Epi-Olmec,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
ERD,Erdini,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
ERD,Erdini,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
ERD,Erdini,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
ERD,Erdini,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
ERD,Erdini,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
ERD,Erdini,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
ETG,Early Tarand-Grave Horizon,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
ETG,Early Tarand-Grave Horizon,2,sop,age_2_renaissance,96,37,5800.00,156.76,125.00,175.00,0,,,pass
ETG,Early Tarand-Grave Horizon,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
ETG,Early Tarand-Grave Horizon,2,sop,age_4_reformation,92,37,9500.00,256.76,225.00,275.00,0,,,pass
ETG,Early Tarand-Grave Horizon,2,sop,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
ETG,Early Tarand-Grave Horizon,2,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
EUD,Eudoses,3,sop,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,14,87.50,125.00,pass
EUD,Eudoses,3,sop,age_2_renaissance,96,32,5012.50,156.64,125.00,175.00,0,,,pass
EUD,Eudoses,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
EUD,Eudoses,3,sop,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
EUD,Eudoses,3,sop,age_5_absolutism,19,25,7600.00,304.00,275.00,325.00,0,,,pass
EUD,Eudoses,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
FIN,Fenni,1,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
FIN,Fenni,1,sop,age_2_renaissance,96,37,5800.00,156.76,125.00,175.00,0,,,pass
FIN,Fenni,1,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
FIN,Fenni,1,sop,age_4_reformation,92,37,9500.00,256.76,225.00,275.00,0,,,pass
FIN,Fenni,1,sop,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
FIN,Fenni,1,sop,age_6_revolutions,82,19,6787.50,357.24,325.00,375.00,0,,,pass
FJS,Further Jushi,2,subject,age_1_traditions,95,42,4275.00,101.79,75.00,125.00,18,112.50,125.00,pass
FJS,Further Jushi,2,subject,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
FJS,Further Jushi,2,subject,age_3_discovery,92,46,9462.50,205.71,175.00,225.00,0,,,pass
FJS,Further Jushi,2,subject,age_4_reformation,92,42,10787.50,256.85,225.00,275.00,0,,,pass
FJS,Further Jushi,2,subject,age_5_absolutism,19,19,5837.50,307.24,275.00,325.00,0,,,pass
FJS,Further Jushi,2,subject,age_6_revolutions,82,24,8575.00,357.29,325.00,375.00,0,,,pass
FLP,Finger Lakes Peninsula,3,sop,age_1_traditions,95,32,3200.00,100.00,75.00,125.00,14,87.50,125.00,pass
FLP,Finger Lakes Peninsula,3,sop,age_2_renaissance,96,36,5600.00,155.56,125.00,175.00,0,,,pass
FLP,Finger Lakes Peninsula,3,sop,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
FLP,Finger Lakes Peninsula,3,sop,age_4_reformation,92,32,8212.50,256.64,225.00,275.00,0,,,pass
FLP,Finger Lakes Peninsula,3,sop,age_5_absolutism,19,21,6425.00,305.95,275.00,325.00,0,,,pass
FLP,Finger Lakes Peninsula,3,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
FRI,Frisii,1,country,age_1_traditions,95,32,3187.50,99.61,75.00,125.00,13,112.50,125.00,pass
FRI,Frisii,1,country,age_2_renaissance,96,32,5012.50,156.64,125.00,175.00,0,,,pass
FRI,Frisii,1,country,age_3_discovery,92,36,7387.50,205.21,175.00,225.00,0,,,pass
FRI,Frisii,1,country,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
FRI,Frisii,1,country,age_5_absolutism,19,25,7600.00,304.00,275.00,325.00,0,,,pass
FRI,Frisii,1,country,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
GAL,Herodian Galilee-Peraea,1,subject,age_1_traditions,95,35,3487.50,99.64,75.00,125.00,14,87.50,125.00,pass
GAL,Herodian Galilee-Peraea,1,subject,age_2_renaissance,96,36,5587.50,155.21,125.00,175.00,0,,,pass
GAL,Herodian Galilee-Peraea,1,subject,age_3_discovery,92,39,8000.00,205.13,175.00,225.00,0,,,pass
GAL,Herodian Galilee-Peraea,1,subject,age_4_reformation,92,36,9187.50,255.21,225.00,275.00,0,,,pass
GAL,Herodian Galilee-Peraea,1,subject,age_5_absolutism,19,17,5200.00,305.88,275.00,325.00,0,,,pass
GAL,Herodian Galilee-Peraea,1,subject,age_6_revolutions,82,21,7475.00,355.95,325.00,375.00,0,,,pass
GAN,Gangani,2,sop,age_1_traditions,95,33,3350.00,101.52,75.00,125.00,13,87.50,125.00,pass
GAN,Gangani,2,sop,age_2_renaissance,96,41,6375.00,155.49,125.00,175.00,0,,,pass
GAN,Gangani,2,sop,age_3_discovery,92,37,7650.00,206.76,175.00,225.00,0,,,pass
GAN,Gangani,2,sop,age_4_reformation,92,41,10487.50,255.79,225.00,275.00,0,,,pass
GAN,Gangani,2,sop,age_5_absolutism,19,26,7962.50,306.25,275.00,325.00,0,,,pass
GAN,Gangani,2,sop,age_6_revolutions,82,16,5687.50,355.47,325.00,375.00,0,,,pass
GAR,Garamantes,2,country,age_1_traditions,95,38,3887.50,102.30,75.00,125.00,17,112.50,125.00,pass
GAR,Garamantes,2,country,age_2_renaissance,96,46,7162.50,155.71,125.00,175.00,0,,,pass
GAR,Garamantes,2,country,age_3_discovery,92,42,8687.50,206.85,175.00,225.00,0,,,pass
GAR,Garamantes,2,country,age_4_reformation,92,46,11762.50,255.71,225.00,275.00,0,,,pass
