design_tag,engine_tag,opening_reform,profile,visible_reforms
KJH,KJH,antq_eastern_hill_valley_network,tribal,antq_eastern_hill_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
KLY,KLY,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
KNG,XCI,antq_kangju_confederated_kingship,steppe,antq_kangju_confederated_kingship|antq_steppe_gift_court|antq_steppe_wing_confederacy
KPC,KPC,antq_west_african_savanna_compound_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_savanna_compound_network
KPM,KPM,antq_borneo_interior_river_network,tribal,antq_borneo_interior_river_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
KRL,XEF,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
KRM,XHF,antq_sulawesi_river_lake_network,tribal,antq_elder_moot_kingship|antq_sulawesi_river_lake_network|antq_warband_retinue_kingship
KSB,KSB,antq_borneo_coastal_exchange_network,tribal,antq_borneo_coastal_exchange_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
KSH,XFU,antq_northern_indian_coin_kingship,royal,antq_frontier_muster_monarchy|antq_northern_indian_coin_kingship|antq_petition_court
KSM,KSM,antq_northern_indian_coin_kingship,royal,antq_frontier_muster_monarchy|antq_northern_indian_coin_kingship|antq_petition_court
KUC,KUC,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
KUL,KUL,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
KUN,XAZ,antq_indian_ganasangha,gana,antq_gana_muster_confederacy|antq_indian_ganasangha|antq_lineage_rotation
KUS,XBE,antq_kushite_dual_kingship,kushite,antq_kushite_dual_household|antq_kushite_dual_kingship|antq_kushite_temple_domain
KWL,KWL,antq_early_ironworking_community_network,tribal,antq_early_ironworking_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
KYU,KYU,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
LAM,XGJ,antq_amur_forest_river_network,tribal,antq_amur_forest_river_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
LAN,XBN,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
LBD,LBD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
LBR,LBR,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
LCH,LCH,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
LGB,LGB,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
LIM,XCW,antq_andean_irrigated_valley_network,tribal,antq_andean_irrigated_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
LMP,LMP,antq_mobile_hunter_herder_network,tribal,antq_elder_moot_kingship|antq_mobile_hunter_herder_network|antq_warband_retinue_kingship
LNC,XEM,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
LNO,XHB,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
LOU,LOU,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
LPR,LPR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
LRC,LRC,antq_loja_regional_development_network,tribal,antq_elder_moot_kingship|antq_loja_regional_development_network|antq_warband_retinue_kingship
LRP,LRP,antq_sulawesi_highland_mortuary_network,tribal,antq_elder_moot_kingship|antq_sulawesi_highland_mortuary_network|antq_warband_retinue_kingship
LUG,LUG,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
LWM,LWM,antq_sulawesi_river_lake_network,tribal,antq_elder_moot_kingship|antq_sulawesi_river_lake_network|antq_warband_retinue_kingship
LZC,LZC,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
MAH,XAW,antq_mahan_small_state_league,tribal,antq_elder_moot_kingship|antq_mahan_small_state_league|antq_warband_retinue_kingship
MAL,XCM,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MAM,XGI,antq_amur_forest_river_network,tribal,antq_amur_forest_river_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
MAU,XAG,antq_mauretanian_client_kingship,mauretanian,antq_mauretanian_client_kingship|antq_mauretanian_frontier_compact|antq_mauretanian_urban_court
MAY,XCS,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
MBC,MBC,antq_west_mexican_basin_community_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_basin_community_network
MBL,XGX,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
MCM,XBK,antq_marcomannic_bohemian_kingship,marcomannic,antq_marcomannic_allied_host_compact|antq_marcomannic_bohemian_kingship|antq_marcomannic_retinue_court
MDN,XGK,antq_ussuri_poltsian_network,tribal,antq_elder_moot_kingship|antq_ussuri_poltsian_network|antq_warband_retinue_kingship
MDR,XGY,antq_philippine_cave_coast_network,tribal,antq_elder_moot_kingship|antq_philippine_cave_coast_network|antq_warband_retinue_kingship
MHK,XDM,antq_borneo_interior_river_network,tribal,antq_borneo_interior_river_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
MHP,MHP,antq_point_peninsula_seasonal_network,tribal,antq_elder_moot_kingship|antq_point_peninsula_seasonal_network|antq_warband_retinue_kingship
MIM,MIM,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MKS,MKS,antq_sulawesi_coastal_exchange_network,tribal,antq_elder_moot_kingship|antq_sulawesi_coastal_exchange_network|antq_warband_retinue_kingship
MLA,MLA,antq_far_side_port_chiefdom,tribal,antq_elder_moot_kingship|antq_far_side_port_chiefdom|antq_warband_retinue_kingship
MLD,MLD,antq_indian_ocean_atoll_network,tribal,antq_elder_moot_kingship|antq_indian_ocean_atoll_network|antq_warband_retinue_kingship
MLL,XFV,antq_indian_ganasangha,gana,antq_gana_muster_confederacy|antq_indian_ganasangha|antq_lineage_rotation
MNG,XEJ,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MNH,MNH,antq_sulawesi_peninsula_community_network,tribal,antq_elder_moot_kingship|antq_sulawesi_peninsula_community_network|antq_warband_retinue_kingship
MNP,XFI,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
MOK,MOK,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
MON,XCK,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MOS,XFP,antq_far_side_port_chiefdom,tribal,antq_elder_moot_kingship|antq_far_side_port_chiefdom|antq_warband_retinue_kingship
MRF,MRF,antq_mesoamerican_formative_civic_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_formative_civic_network|antq_warband_retinue_kingship
MRG,MRG,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
MRH,XHL,antq_andean_highland_community_network,tribal,antq_andean_highland_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
MRN,XGQ,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MRV,XED,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
MRW,XHI,antq_central_mississippi_woodland_network,tribal,antq_central_mississippi_woodland_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
MSI,XEA,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MTS,XGO,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MTT,MTT,antq_philippine_mortuary_community_network,tribal,antq_elder_moot_kingship|antq_philippine_mortuary_community_network|antq_warband_retinue_kingship
MUG,XDV,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MUN,XFO,antq_far_side_port_chiefdom,tribal,antq_elder_moot_kingship|antq_far_side_port_chiefdom|antq_warband_retinue_kingship
MUP,MUP,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
MUS,XFM,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
MYB,MYB,antq_andean_highland_community_network,tribal,antq_andean_highland_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
MYL,MYL,antq_himalayan_highland_network,tribal,antq_elder_moot_kingship|antq_himalayan_highland_network|antq_warband_retinue_kingship
MZC,MZC,antq_west_mexican_highland_corridor_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_highland_corridor_network
MZN,XFJ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
NAB,NAB,antq_nabataean_caravan_kingship,nabataean,antq_nabataean_caravan_kingship|antq_nabataean_customs_court|antq_nabataean_water_stewardship
NAG,XFF,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
NAR,NAR,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
NAZ,NAZ,antq_andean_ceremonial_centre_network,tribal,antq_andean_ceremonial_centre_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
NBR,NBR,antq_borneo_cave_river_network,tribal,antq_borneo_cave_river_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
NCR,NCR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
NEB,NEB,antq_borneo_coastal_exchange_network,tribal,antq_borneo_coastal_exchange_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
NEM,XFK,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
NGR,XGZ,antq_philippine_mortuary_community_network,tribal,antq_elder_moot_kingship|antq_philippine_mortuary_community_network|antq_warband_retinue_kingship
NHC,NHC,antq_mesoamerican_exchange_corridor_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_exchange_corridor_network|antq_warband_retinue_kingship
NHM,NHM,antq_north_maluku_metal_age_network,tribal,antq_elder_moot_kingship|antq_north_maluku_metal_age_network|antq_warband_retinue_kingship
NHR,NHR,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
NMS,XFT,antq_indo_scythian_kingship,iranian,antq_arsacid_dual_court_compact|antq_indo_scythian_kingship|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_vologasid_dynastic_settlement
NNR,NNR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
NOK,NOK,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
NOV,XEZ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
NSK,NSK,antq_west_african_ironworking_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_ironworking_network
NVM,NVM,antq_central_indian_megalithic_network,tribal,antq_central_indian_megalithic_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
NYS,XGU,antq_west_mexican_shaft_tomb_chiefdom,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_shaft_tomb_chiefdom
OHW,OHW,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
OLC,OLC,antq_orinoco_llanos_ceramic_network,tribal,antq_elder_moot_kingship|antq_orinoco_llanos_ceramic_network|antq_warband_retinue_kingship
OMN,OMN,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
ONH,ONH,antq_mesoamerican_highland_community_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_highland_community_network|antq_warband_retinue_kingship
OPO,OPO,antq_far_side_port_chiefdom,tribal,antq_elder_moot_kingship|antq_far_side_port_chiefdom|antq_warband_retinue_kingship
ORD,XCB,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
OSR,OSR,antq_buffer_kingdom,royal,antq_buffer_kingdom|antq_frontier_muster_monarchy|antq_petition_court
OUE,OUE,antq_west_african_forest_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_african_forest_network
PAR,XAH,antq_parthian_king_of_kings,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_king_of_kings|antq_vologasid_dynastic_settlement
PBI,PBI,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
PCM,PCM,antq_northern_indian_coin_kingship,royal,antq_frontier_muster_monarchy|antq_northern_indian_coin_kingship|antq_petition_court
PCT,XHC,antq_philippine_coastal_river_network,tribal,antq_elder_moot_kingship|antq_philippine_coastal_river_network|antq_warband_retinue_kingship
PDL,PDL,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
PDR,PDR,antq_pundranagara_urban_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_pundranagara_urban_kingship
PHC,PHC,antq_west_mexican_basin_community_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_basin_community_network
PLH,PLH,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
PLW,PLW,antq_philippine_cave_coast_network,tribal,antq_elder_moot_kingship|antq_philippine_cave_coast_network|antq_warband_retinue_kingship
PND,PND,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
PNY,PNY,antq_philippine_mortuary_community_network,tribal,antq_elder_moot_kingship|antq_philippine_mortuary_community_network|antq_warband_retinue_kingship
PPA,PPA,antq_point_peninsula_seasonal_network,tribal,antq_elder_moot_kingship|antq_point_peninsula_seasonal_network|antq_warband_retinue_kingship
PRM,XEG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
PRS,PRS,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
PRZ,XEC,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
PTF,PTF,antq_mesoamerican_formative_civic_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_formative_civic_network|antq_warband_retinue_kingship
PUK,XHK,antq_andean_ceremonial_centre_network,tribal,antq_andean_ceremonial_centre_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
PUL,PUL,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
PWB,PWB,antq_mainland_iron_age_basin_network,tribal,antq_elder_moot_kingship|antq_mainland_iron_age_basin_network|antq_warband_retinue_kingship
PYU,PYU,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
QAT,QAT,antq_regional_kingship,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_regional_kingship
QIM,XGA,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
QMC,QMC,antq_eastern_plateau_corridor_network,tribal,antq_eastern_plateau_corridor_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
QTR,XER,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
QUA,XBO,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
RAR,XFW,antq_bengal_riverine_community_network,tribal,antq_bengal_riverine_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
RBD,RBD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
RDN,RDN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
REC,REC,antq_andean_highland_community_network,tribal,antq_andean_highland_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
REG,XES,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
RHB,RHB,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
RKU,RKU,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
RLG,RLG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
ROM,XAA,antq_principate,roman,antq_antonine_provincial_principate|antq_augustan_dyarchy|antq_dominate|antq_flavian_imperial_settlement|antq_principate|antq_provincial_principate|antq_severan_military_principate
ROX,ROX,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
RSW,RSW,antq_borneo_coastal_exchange_network,tribal,antq_borneo_coastal_exchange_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
RUG,RUG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
RUV,RUV,antq_early_ironworking_community_network,tribal,antq_early_ironworking_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
RYS,RYS,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
RZM,RZM,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SAB,XBI,antq_sabaean_marib_kingship,sabaean,antq_sabaean_irrigation_court|antq_sabaean_marib_kingship|antq_sabaean_sanctuary_route_court
SAT,SAT,antq_satavahana_deccan_kingship,satavahana,antq_satavahana_deccan_kingship|antq_satavahana_guild_court|antq_satavahana_maharathi_compact
SAX,XBR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SBN,SBN,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
SDR,XGW,antq_sonoran_desert_farming_network,tribal,antq_elder_moot_kingship|antq_sonoran_desert_farming_network|antq_warband_retinue_kingship
SDY,SDY,antq_eastern_hill_valley_network,tribal,antq_eastern_hill_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
SEL,SEL,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SEM,SEM,antq_semnonian_sacred_confederacy,semnonian,antq_semnonian_district_muster|antq_semnonian_grove_delegation|antq_semnonian_sacred_confederacy
SGK,SGK,antq_borneo_cave_river_network,tribal,antq_borneo_cave_river_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
SGM,SGM,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
SHC,SHC,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
SHK,XEI,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
SHM,XHG,antq_north_maluku_metal_age_network,tribal,antq_elder_moot_kingship|antq_north_maluku_metal_age_network|antq_warband_retinue_kingship
SHY,SHY,antq_sa_huynh_exchange_network,tribal,antq_elder_moot_kingship|antq_sa_huynh_exchange_network|antq_warband_retinue_kingship
SIB,XDO,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SIL,XCA,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SIR,XCE,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SIT,XDY,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
SJB,SJB,antq_west_mexican_shaft_tomb_chiefdom,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_shaft_tomb_chiefdom
SKH,SKH,antq_sakhalin_maritime_network,tribal,antq_elder_moot_kingship|antq_sakhalin_maritime_network|antq_warband_retinue_kingship
SKM,SKM,antq_himalayan_highland_network,tribal,antq_elder_moot_kingship|antq_himalayan_highland_network|antq_warband_retinue_kingship
SKN,XEP,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SKT,XAN,antq_parthian_subkingdom,iranian,antq_arsacid_dual_court_compact|antq_iranian_great_house_reform|antq_iranian_royal_domain|antq_late_arsacid_house_mobilization|antq_parthian_subkingdom|antq_vologasid_dynastic_settlement
SLC,SLC,antq_mesoamerican_formative_civic_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_formative_civic_network|antq_warband_retinue_kingship
SLU,SLU,antq_philippine_island_exchange_network,tribal,antq_elder_moot_kingship|antq_philippine_island_exchange_network|antq_warband_retinue_kingship
SMD,XEE,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SME,XFE,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SMP,SMP,antq_sumpa_highland_confederacy,tribal,antq_elder_moot_kingship|antq_sumpa_highland_confederacy|antq_warband_retinue_kingship
SMT,SMT,antq_bengal_riverine_community_network,tribal,antq_bengal_riverine_community_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
SMY,SMY,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SNE,SNE,antq_sierra_nevada_early_community_network,tribal,antq_elder_moot_kingship|antq_sierra_nevada_early_community_network|antq_warband_retinue_kingship
SNG,XEL,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
SNR,SNR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SOG,SOG,antq_sogdian_city_compact,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_sogdian_city_compact
SRD,SRD,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
SRG,XEH,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SRS,SRS,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
SRY,SRY,antq_saryarka_late_iron_network,tribal,antq_elder_moot_kingship|antq_saryarka_late_iron_network|antq_warband_retinue_kingship
SSH,XGH,antq_mainland_highland_exchange_network,tribal,antq_elder_moot_kingship|antq_mainland_highland_exchange_network|antq_warband_retinue_kingship
SUE,XDZ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SUG,SUG,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SUI,XBS,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
SVA,XDG,antq_soanian_king_and_council,tribal,antq_elder_moot_kingship|antq_soanian_king_and_council|antq_warband_retinue_kingship
TAE,XFB,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
TEO,XCQ,antq_mesoamerican_urban_ritual_center,tribal,antq_elder_moot_kingship|antq_mesoamerican_urban_ritual_center|antq_warband_retinue_kingship
TGD,TGD,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
THM,XEQ,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
THR,THR,antq_odrysian_client_kingship,thracian,antq_odrysian_client_kingship|antq_thracian_dynastic_court|antq_thracian_mountain_host
TIW,TIW,antq_andean_ceremonial_centre_network,tribal,antq_andean_ceremonial_centre_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
TJC,TJC,antq_teuchitlan_civic_center_network,tribal,antq_elder_moot_kingship|antq_teuchitlan_civic_center_network|antq_warband_retinue_kingship
TKW,TKW,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
TND,XDN,antq_tamilakam_velir_court,royal,antq_frontier_muster_monarchy|antq_petition_court|antq_tamilakam_velir_court
TON,XCO,antq_advanced_chiefdom,tribal,antq_advanced_chiefdom|antq_elder_moot_kingship|antq_warband_retinue_kingship
TPC,XGS,antq_mesoamerican_formative_civic_network,tribal,antq_elder_moot_kingship|antq_mesoamerican_formative_civic_network|antq_warband_retinue_kingship
TRI,XBW,antq_trinovantian_coin_kingship,trinovantian,antq_trinovantian_channel_compact|antq_trinovantian_coin_kingship|antq_trinovantian_oppidum_court
TSG,XGC,antq_central_plateau_agropastoral_network,tribal,antq_central_plateau_agropastoral_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
TUR,XAV,antq_han_western_regions_kingship,royal,antq_frontier_muster_monarchy|antq_han_western_regions_kingship|antq_petition_court
TVC,TVC,antq_west_mexican_basin_community_network,tribal,antq_elder_moot_kingship|antq_warband_retinue_kingship|antq_west_mexican_basin_community_network
UBR,UBR,antq_eastern_hill_valley_network,tribal,antq_eastern_hill_valley_network|antq_elder_moot_kingship|antq_warband_retinue_kingship
UGR,UGR,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
UIR,UIR,antq_mainland_river_corridor_network,tribal,antq_elder_moot_kingship|antq_mainland_river_corridor_network|antq_warband_retinue_kingship
UJJ,XGD,antq_central_indian_urban_kingship,royal,antq_central_indian_urban_kingship|antq_frontier_muster_monarchy|antq_petition_court
ULA,XCC,antq_tribal_kingdom,tribal,antq_elder_moot_kingship|antq_tribal_kingdom|antq_warband_retinue_kingship
UMK,UMK,antq_mainland_highland_exchange_network,tribal,antq_elder_moot_kingship|antq_mainland_highland_exchange_network|antq_warband_retinue_kingship
