design_tag,engine_tag,kind,government_source,reform,estate_profile,visible_privilege_count,profile_privilege_count,exact_privilege_count,visible_privileges
HAD,XBJ,country,sourced,antq_regional_kingship,royal,8,6,2,antq_hadramite_shabwa_incense_store_custody|antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
KIN,KIN,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_kindite_interior_caravan_escort_terms|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
THM,XEQ,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_tamudaean_well_access_guarantees|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
AGR,AGR,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_agraean_oasis_watch_obligations|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
GRH,GRH,country,sourced,antq_regional_kingship,royal,9,6,3,antq_gerrhaean_aromatic_transit_measures|antq_gerrhaean_oasis_customs_watch|antq_regional_royal_court|antq_royal_caravan_protection_guarantees|antq_royal_dynastic_hostage_compacts|antq_royal_fortress_grain_and_muster|antq_royal_palace_petition_days|antq_royal_sanctuary_patronage|antq_royal_tribute_assessment_registers
QTR,XER,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_cataraean_gulf_anchorage_safe_conducts|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
OMN,OMN,sop,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_omanite_coastal_pilotage_compacts|antq_omanite_wadi_water_rotations|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
MCM,XBK,country,sourced,antq_marcomannic_bohemian_kingship,marcomannic,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_marcomannic_allied_kindred_muster_terms|antq_marcomannic_iron_amber_safe_conducts|antq_marcomannic_retinue_command_terms|antq_marcomannic_royal_gift_custody|antq_marcomannic_sacred_oath_stores|antq_marcomannic_settlement_provision_compacts|antq_tribal_elder_council
CRU,CRU,country,sourced,antq_cheruscan_kindred_assembly,cheruscan,11,6,5,antq_cheruscan_coalition_assembly_hearing|antq_cheruscan_forest_community_compacts|antq_cheruscan_frontier_broker_safe_conducts|antq_cheruscan_grove_oath_custody|antq_cheruscan_kindred_assembly_guarantees|antq_cheruscan_retinue_gift_precedence|antq_cheruscan_retinue_service_terms|antq_cheruscan_settlement_provision_limits|antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians
CHT,XBL,country,sourced,antq_chattian_host_order,chattian,9,6,3,antq_chattian_chosen_leader_hearings|antq_chattian_forest_district_musters|antq_chattian_host_provision_rotations|antq_chattian_prepared_foot_host_terms|antq_chattian_smith_tool_exchange|antq_chattian_warrior_vow_custody|antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians
FRI,XBM,country,sourced,antq_frisian_terp_community_order,frisian,9,6,3,antq_frisian_cattle_marsh_compacts|antq_frisian_coastal_following_terms|antq_frisian_leading_terp_hearings|antq_frisian_oath_offering_custody|antq_frisian_terp_community_guarantees|antq_frisian_tidal_exchange_safe_conducts|antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians
BTV,BTV,subject,sourced,antq_batavian_rhine_compact,batavian,9,6,3,antq_batavian_allied_rhine_guarantees|antq_batavian_auxiliary_service_terms|antq_batavian_ferry_horse_safe_conducts|antq_batavian_floodbank_labor_rotations|antq_batavian_island_council_hearings|antq_batavian_river_oath_custody|antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians
LAN,XBN,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SEM,SEM,country,sourced,antq_semnonian_sacred_confederacy,semnonian,9,6,3,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_semnonian_assembly_provision_rotations|antq_semnonian_district_delegation_hearings|antq_semnonian_elbe_amber_safe_conducts|antq_semnonian_retinue_muster_terms|antq_semnonian_sacred_grove_custody|antq_semnonian_suebian_affiliate_guarantees
HER,HER,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
QUA,XBO,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
GUT,GUT,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VAN,VAN,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
RUG,RUG,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BRG,XBP,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ANG,XBQ,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SAX,XBR,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
JUT,JUT,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_germanic_assembly_acclamation|antq_germanic_household_retainers|antq_germanic_sacred_grove_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SUI,XBS,sop,sourced,antq_tribal_kingdom,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
AES,AES,sop,sourced,antq_aestian_amber_coast_order,aestian,8,6,2,antq_aestian_amber_exchange_safe_conducts|antq_aestian_cultivator_woodland_compacts|antq_aestian_lagoon_community_guarantees|antq_aestian_leading_household_hearings|antq_aestian_local_offering_custody|antq_aestian_shore_following_terms|antq_baltic_amber_route_brokers|antq_baltic_burial_custodians
WBB,WBB,sop,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_baltic_amber_route_brokers|antq_baltic_burial_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BPC,BPC,sop,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_baltic_burial_custodians|antq_baltic_hillfort_households|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
WSC,WSC,sop,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_baltic_burial_custodians|antq_baltic_hillfort_households|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ETG,ETG,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_baltic_burial_custodians|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VEN,XBT,sop,sourced,antq_tribal_kingdom,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
FIN,XBU,sop,sourced,antq_tribal_kingdom,tribal,7,6,1,antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
CAT,XBV,country,sourced,antq_catuvellaunian_oppidum_kingship,catuvellaunian,10,6,4,antq_brittonic_druidic_council|antq_catuvellaunian_channel_frontier_watch_rotations|antq_catuvellaunian_cultivator_store_compacts|antq_catuvellaunian_dynastic_retinue_service_terms|antq_catuvellaunian_oppidum_craft_market_measures|antq_catuvellaunian_royal_seal_custody|antq_catuvellaunian_sacred_place_offering_inventories|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_council
TRI,XBW,country,sourced,antq_trinovantian_coin_kingship,trinovantian,8,6,2,antq_hillfort_retinues|antq_oppidum_councils|antq_trinovantian_channel_exchange_safe_conducts|antq_trinovantian_chariot_retinue_terms|antq_trinovantian_coin_house_hearings|antq_trinovantian_oppidum_store_guarantees|antq_trinovantian_sacred_place_custody|antq_trinovantian_woodland_pasture_compacts
ICE,XBX,country,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BRI,XBY,country,sourced,antq_brigantian_hillfort_confederacy,brigantian,7,6,1,antq_brigantian_cattle_grain_rotations|antq_brigantian_leading_kindred_hearings|antq_brigantian_mounted_chariot_service_terms|antq_brigantian_pennine_passage_safe_conducts|antq_brigantian_ritual_oath_custody|antq_brigantian_upland_community_guarantees|antq_hillfort_retinues
ATB,XBZ,country,sourced,antq_tribal_kingdom,tribal,11,6,5,antq_brittonic_druidic_council|antq_channel_exchange_compacts|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SIL,XCA,country,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ORD,XCB,country,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DUM,DUM,country,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BRT,XDJ,sop,sourced,antq_tribal_kingdom,tribal,11,6,5,antq_brittonic_druidic_council|antq_channel_exchange_compacts|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
REG,XES,sop,sourced,antq_tribal_kingdom,tribal,11,6,5,antq_brittonic_druidic_council|antq_channel_exchange_compacts|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
BLG,XET,sop,sourced,antq_tribal_kingdom,tribal,11,6,5,antq_brittonic_druidic_council|antq_channel_exchange_compacts|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DUR,XEU,sop,sourced,antq_durotrigian_hillfort_coin_order,durotrigian,9,6,3,antq_channel_exchange_compacts|antq_durotrigian_burial_sacred_custody|antq_durotrigian_coastal_rural_guarantees|antq_durotrigian_enclosure_house_hearings|antq_durotrigian_field_grain_compacts|antq_durotrigian_pottery_coin_measures|antq_durotrigian_retinue_chariot_terms|antq_hillfort_retinues|antq_oppidum_councils
DOB,DOB,sop,sourced,antq_tribal_kingdom,tribal,11,6,5,antq_brittonic_druidic_council|antq_channel_exchange_compacts|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
COR,XEV,sop,sourced,antq_tribal_kingdom,tribal,11,6,5,antq_brittonic_druidic_council|antq_channel_exchange_compacts|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
CNV,XEW,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
PBI,PBI,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_oppidum_councils|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
CRV,CRV,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DEM,XEX,sop,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DEC,XEY,sop,sourced,antq_tribal_kingdom,tribal,9,6,3,antq_brittonic_druidic_council|antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VOT,VOT,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SEL,SEL,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
NOV,XEZ,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DAM,XFA,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VCN,VCN,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
TAE,XFB,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
EPD,EPD,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VAC,VAC,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DCT,DCT,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
CAE,XFC,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
CRE,CRE,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
CNA,XFD,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
LGB,LGB,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
SME,XFE,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
NCR,NCR,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
CAL,CAL,sop,sourced,antq_tribal_kingdom,tribal,8,6,2,antq_hillfort_retinues|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VNI,VNI,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
RHB,RHB,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
DAR,DAR,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ERD,ERD,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
ULA,XCC,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
NAG,XFF,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
AUT,AUT,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
GAN,GAN,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
VEL,XFG,sop,sourced,antq_tribal_kingdom,tribal,10,6,4,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_tribal_elder_assembly_hearing|antq_tribal_elder_council|antq_tribal_free_household_muster|antq_tribal_grove_custodianship|antq_tribal_household_retinue_gifts|antq_tribal_river_exchange_protection|antq_tribal_seasonal_cattle_compacts
IVN,IVN,sop,sourced,antq_ivernian_regional_assembly,ivernian,9,6,3,antq_hibernian_cattle_compacts|antq_hibernian_maritime_followings|antq_hibernian_ritual_specialists|antq_ivernian_cattle_cultivator_compacts|antq_ivernian_exchange_smithing_safe_conducts|antq_ivernian_kin_group_hearings|antq_ivernian_regional_community_guarantees|antq_ivernian_seaway_following_terms|antq_ivernian_wetland_offering_custody
