tag,name,kind,region,government_resolution,reform,programme_profile,programme_count,setting_tied_count,aptitudes,modifier_family_count,programmes,status
VEN,Venedi,sop,Eastern Europe,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,15,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_uralic_fur_bundle_accounts;antq_regprog_uralic_river_boat_relays;antq_regprog_uralic_winter_store_pits;antq_regprog_uralic_forest_grove_gifts,pass
FIN,Fenni,sop,Finland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,15,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_uralic_fur_bundle_accounts;antq_regprog_uralic_river_boat_relays;antq_regprog_uralic_winter_store_pits;antq_regprog_uralic_forest_grove_gifts,pass
CAT,Catuvellauni,country,Britain,explicit_government_ledger,antq_catuvellaunian_oppidum_kingship,catuvellaunian,5,5,adm;dip;mil,9,antq_catuvellaunian_oppidum_store_returns;antq_catuvellaunian_weight_die_oversight;antq_catuvellaunian_chariot_retinue_muster;antq_catuvellaunian_channel_exchange_guarantees;antq_catuvellaunian_sanctuary_assembly_hearing,pass
TRI,Trinovantes,country,Britain,explicit_government_ledger,antq_trinovantian_coin_kingship,trinovantian,5,5,adm;dip;mil,9,antq_trinovantian_coin_die_returns;antq_trinovantian_oppidum_store_returns;antq_trinovantian_channel_landing_guarantees;antq_trinovantian_chariot_retinue_musters;antq_trinovantian_sacred_place_hearings,pass
ICE,Iceni,country,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
BRI,Brigantes,country,Britain,explicit_government_ledger,antq_brigantian_hillfort_confederacy,brigantian,5,5,adm;dip;mil,9,antq_brigantian_hillfort_store_returns;antq_brigantian_pennine_passage_watch;antq_brigantian_cattle_pasture_reckoning;antq_brigantian_mounted_chariot_musters;antq_brigantian_kindred_gift_compacts,pass
ATB,Atrebates,country,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
SIL,Silures,country,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
ORD,Ordovices,country,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DUM,Dumnonii,country,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
BRT,Cantiaci,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
REG,Regni,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
BLG,Belgae,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DUR,Durotriges,sop,Britain,explicit_government_ledger,antq_durotrigian_hillfort_coin_order,durotrigian,5,5,adm;dip;mil,8,antq_durotrigian_hillfort_store_returns;antq_durotrigian_coin_weight_returns;antq_durotrigian_pottery_craft_measures;antq_durotrigian_burial_custody_hearings;antq_durotrigian_coastal_exchange_returns,pass
DOB,Dobunni,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
COR,Corieltauvi,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CNV,Cornovii,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
PBI,Parisii,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CRV,Carvetii,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DEM,Demetae,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DEC,Deceangli,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
VOT,Votadini,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
SEL,Selgovae,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
NOV,Novantae,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DAM,Damnonii,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
VCN,Venicones,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
TAE,Taexali,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
EPD,Epidii,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
VAC,Vacomagi,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DCT,Decantae,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CAE,Caereni,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CRE,Creones,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CNA,Carnonacae,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
LGB,Lugi,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
SME,Smertae,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
NCR,Cornavii,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CAL,Caledoni,sop,Britain,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
VNI,Vennicnii,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
RHB,Rhobogdii,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DAR,Darini,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
ERD,Erdini,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
ULA,Voluntii,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
NAG,Nagnatae,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
AUT,Autini,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
GAN,Gangani,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
VEL,Velabri,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
IVN,Iverni,sop,Ireland,explicit_government_ledger,antq_ivernian_regional_assembly,ivernian,5,5,adm;dip;mil,10,antq_ivernian_seasonal_gathering_returns;antq_ivernian_cattle_gift_returns;antq_ivernian_seaway_exchange_guarantees;antq_ivernian_iron_smith_contributions;antq_ivernian_wetland_deposition_custody,pass
USD,Usdiae,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
IBG,Hibernian Brigantes,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CND,Coriondi,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
MNP,Manapii,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
CCI,Cauci,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
EBL,Eblani,sop,Ireland,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,13,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_celtic_oppidum_grain_pits;antq_regprog_celtic_cattle_bridewealth_rings;antq_regprog_celtic_chariot_fitting_stores;antq_regprog_celtic_oenach_assembly_posts,pass
DAC,Dacian Kingdoms,country,Danube,explicit_government_ledger,antq_dacian_divided_kingships,dacian,5,5,adm;dip;mil,8,antq_dacian_hillfort_store_returns;antq_dacian_iron_silver_accounts;antq_dacian_carpathian_pass_watch;antq_dacian_mounted_host_muster;antq_dacian_sanctuary_oath_hearings,pass
GET,Getae,sop,Danube,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,14,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_caucasian_pass_tower_watches;antq_regprog_caucasian_wine_amphora_shares;antq_regprog_caucasian_hillfort_grain_bins;antq_regprog_caucasian_hostage_surety_tokens,pass
BAS,Bastarnae,sop,Danube,explicit_government_ledger,antq_tribal_kingdom,tribal,11,4,adm;dip;mil,14,antq_tribal_elder_moot;antq_tribal_warband_gifts;antq_tribal_grove_custody;antq_tribal_seasonal_muster;antq_tribal_river_exchange;antq_tribal_seasonal_subsistence_round;antq_tribal_intercommunity_envoys;antq_regprog_caucasian_pass_tower_watches;antq_regprog_caucasian_wine_amphora_shares;antq_regprog_caucasian_hillfort_grain_bins;antq_regprog_caucasian_hostage_surety_tokens,pass
