design_tag,government_type,heir_selection,ruler,heir,consort,active_regent,regency,start_regency_date,end_regency_date,reform,privileges,laws,societal_values,source,confidence,note
TRI,tribe,tribal_oldest_male,antq_dubnovellaunos,,,,,,,antq_trinovantian_coin_kingship,antq_trinovantian_coin_house_hearings,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-25|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=55,P8.7;P11;P13;CAH-XI;BM-DRU;CCI-DUB,contested,Trinovantian coin-kingship profile with coin-attested Dubnovellaunos as current ruler; exact date range Camulodunon procedure and Cantii relationship remain contested.
ICE,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=55,P8.7;P13;CAH-XI;BM-DRU,contested,Anonymous tribal government for the Iceni with a bounded druidic-authority adapter; Boudica belongs to the later AD 60s history path.
BRI,tribe,tribal_oldest_male,random,,,,,,,antq_brigantian_hillfort_confederacy,antq_brigantian_leading_kindred_hearings,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=55,P8.7;P11;P13;CAH-XI;PLE;PTO-GEO-II2;BRIGANTIA-STANWICK,contested,Anonymous Brigantian northern-confederacy profile; AD 1 unity and Stanwick's role remain contested and Cartimandua belongs to the later Roman-conquest arc.
ATB,tribe,tribal_oldest_male,antq_tincomarus,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-25|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=55,P8.7;P13;CAH-XI;CCI-TIN;BM-DRU,contested,Coin-attested Atrebatic ruler current across AD 1 with a bounded druidic-authority adapter. The ruler is secure; the shared tribal and religious-estate mappings remain technical and do not reconstruct a constitution or pre-script the later Verica arc.
SIL,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-35|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-40|capital_economy_vs_traditional_economy=60,P8.7;P13;CAH-XI;BM-DRU,contested,Anonymous tribal government for the Silures with a bounded druidic-authority adapter; the source set does not identify a campaign-boundary ruler or a uniform constitutional council.
ORD,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-40|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-40|capital_economy_vs_traditional_economy=65,P8.7;P13;CAH-XI;BM-DRU,contested,Anonymous tribal government for the Ordovices with a bounded druidic-authority adapter; the source set does not identify a campaign-boundary ruler or a uniform constitutional council.
DUM,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=55,P8.7;P13;CAH-XI;BM-DRU,contested,Anonymous tribal government for the Dumnonii with a bounded druidic-authority adapter; the source set does not identify a campaign-boundary ruler or a uniform constitutional council.
CAL,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Caledoni people-polity adapter; no unitary AD 1 kingdom is implied.
ULA,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Voluntian people-polity adapter; Ptolemy does not establish a unitary AD 1 kingdom.
BRT,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=50,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous Cantiacian people-polity adapter; the council and druidic privilege do not reconstruct a constitution.
REG,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=50,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous Regnian people-polity adapter; the council and druidic privilege do not reconstruct a constitution.
BLG,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-25|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=45,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous British Belgic people-polity adapter; no unitary court or fixed frontier is inferred.
DUR,tribe,tribal_oldest_male,random,,,,,,,antq_durotrigian_hillfort_coin_order,antq_durotrigian_enclosure_house_hearings,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-35|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-40|capital_economy_vs_traditional_economy=55,P8.7;P11;P13;CAH-XI;PTO-GEO-II2;DUROTRIGES-PROJECT,contested,Anonymous Durotrigian material-political profile; distinctive coinage pottery burial and enclosure evidence does not prove a unitary court or fixed frontier.
DOB,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-25|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-30|capital_economy_vs_traditional_economy=45,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous Dobunnic people-polity adapter; no unitary court or fixed frontier is inferred.
COR,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=50,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous Corieltauvian people-polity adapter; no unitary court or fixed frontier is inferred.
CNV,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-35|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-40|capital_economy_vs_traditional_economy=55,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous Midland Cornovian people-polity adapter; no unitary court or fixed frontier is inferred.
PBI,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-35|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-40|capital_economy_vs_traditional_economy=50,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous British Parisian people-polity adapter; no connection to the Gallic Parisii as one state is inferred.
CRV,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-40|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=60,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Carvetian people-polity adapter; the epigraphic name does not prove a unitary AD 1 kingdom.
DEM,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-40|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-40|capital_economy_vs_traditional_economy=60,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous Demetian people-polity adapter; no unitary court or fixed frontier is inferred.
DEC,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council|antq_brittonic_druidic_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-45|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=65,P8.7;P13;PTO-GEO-II2;BM-DRU,contested,Anonymous Deceanglian people-polity adapter; no unitary court or fixed frontier is inferred.
VOT,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-40|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=60,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Votadinian people-polity adapter; Roman fort lists do not establish its AD 1 offices.
SEL,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-45|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=65,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Selgovaean people-polity adapter; Roman fort lists do not establish its AD 1 offices.
NOV,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-45|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=65,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Novantaean people-polity adapter; no unitary AD 1 kingdom is implied.
DAM,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-40|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=60,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Damnonian people-polity adapter; no unitary AD 1 kingdom is implied.
VCN,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-40|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=60,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Veniconian people-polity adapter; no unitary AD 1 kingdom is implied.
TAE,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-45|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=65,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Taexalian people-polity adapter; no unitary AD 1 kingdom is implied.
EPD,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Epidian people-polity adapter; island attachment is a campaign abstraction rather than unitary rule.
VAC,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-45|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=65,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Vacomagian people-polity adapter; no unitary AD 1 kingdom is implied.
DCT,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Decantian people-polity adapter; no unitary AD 1 kingdom is implied.
CAE,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-50|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=75,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Caerenian people-polity adapter; no unitary AD 1 kingdom is implied.
CRE,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-50|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=75,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Creonian people-polity adapter; no unitary AD 1 kingdom is implied.
CNA,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-50|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=75,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Carnonacan people-polity adapter; no unitary AD 1 kingdom is implied.
LGB,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-50|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=75,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous British Lugian people-polity adapter; no connection to a unitary continental Lugian state is inferred.
SME,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-50|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=75,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous Smertian people-polity adapter; no unitary AD 1 kingdom is implied.
NCR,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-50|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=75,P8.7;P13;PTO-GEO-II2;MANN-BRI,contested,Anonymous northern Cornavian adapter; island attachment does not assert homogeneous identity or unitary rule.
VNI,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Vennicnian people-polity adapter; no unitary AD 1 kingdom is implied.
RHB,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Rhobogdian people-polity adapter; no unitary AD 1 kingdom is implied.
DAR,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Darinian people-polity adapter; no unitary AD 1 kingdom is implied.
ERD,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Erdinian people-polity adapter; no unitary AD 1 kingdom is implied.
NAG,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Nagnatan people-polity adapter; no unitary AD 1 kingdom is implied.
AUT,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Autinian people-polity adapter; no unitary AD 1 kingdom is implied.
GAN,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Ganganian people-polity adapter; no unitary AD 1 kingdom is implied.
VEL,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Velabrian people-polity adapter; no unitary AD 1 kingdom is implied.
IVN,tribe,tribal_oldest_male,random,,,,,,,antq_ivernian_regional_assembly,antq_ivernian_kin_group_hearings,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P11;P13;PTO-GEO-II1;DARCY-IRE;IRON-AGE-IRELAND,contested,Anonymous low-centralization Ivernian regional profile; Ptolemy is later evidence and no unitary AD 1 kingdom medieval Gaelic office system or dense settlement hierarchy is implied.
USD,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Usdiaean people-polity adapter; no unitary AD 1 kingdom is implied.
IBG,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Irish Brigantian people-polity adapter; no unitary transmarine state is implied.
CND,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Coriondian people-polity adapter; no unitary AD 1 kingdom is implied.
MNP,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Manapian people-polity adapter; no unitary AD 1 kingdom is implied.
CCI,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Caucian people-polity adapter; no unitary AD 1 kingdom is implied.
EBL,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-50|capital_economy_vs_traditional_economy=70,P8.7;P13;PTO-GEO-II1;DARCY-IRE,contested,Anonymous Eblanian people-polity adapter; no unitary AD 1 kingdom is implied.
KHT,monarchy,cognatic_primogeniture,random,,,,,,,antq_regional_kingship,antq_regional_royal_court,antq_regional_kingship_law=antq_royal_court_governance,centralization_vs_decentralization=10|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=35,P8.3;P13;CHG,contested,Anonymous regional-kingship adapter for Khotan; its Han tributary relationship belongs to M9.
KUC,monarchy,cognatic_primogeniture,random,,,,,,,antq_regional_kingship,antq_regional_royal_court,antq_regional_kingship_law=antq_royal_court_governance,centralization_vs_decentralization=10|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=35,P8.3;P13;CHG,contested,Anonymous regional-kingship adapter for Kucha; its Han tributary relationship belongs to M9.
KAS,monarchy,cognatic_primogeniture,random,,,,,,,antq_regional_kingship,antq_regional_royal_court,antq_regional_kingship_law=antq_royal_court_governance,centralization_vs_decentralization=10|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=35,P8.3;P13;CHG,contested,Anonymous regional-kingship adapter for Kashgar; its Han tributary relationship belongs to M9.
LOU,monarchy,cognatic_primogeniture,random,,,,,,,antq_regional_kingship,antq_regional_royal_court,antq_regional_kingship_law=antq_royal_court_governance,centralization_vs_decentralization=5|traditionalist_vs_innovative=-15|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=40,P8.3;P13;CHG,contested,Anonymous regional-kingship adapter for Loulan; its Han tributary relationship belongs to M9.
TUR,monarchy,cognatic_primogeniture,random,,,,,,,antq_regional_kingship,antq_regional_royal_court,antq_regional_kingship_law=antq_royal_court_governance,centralization_vs_decentralization=10|traditionalist_vs_innovative=-10|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=35,P8.3;P13;CHG,contested,Anonymous regional-kingship adapter for Turfan; its Han tributary relationship belongs to M9.
BUY,monarchy,cognatic_primogeniture,antq_daeso_buyeo,,,,,,,antq_regional_kingship,antq_regional_royal_court,antq_regional_kingship_law=antq_royal_court_governance,centralization_vs_decentralization=10|traditionalist_vs_innovative=-20|aristocracy_vs_plutocracy=-25|capital_economy_vs_traditional_economy=35,P8.3;P13;SAM;AKS-DAE;KCI-BUY,contested,Regional-kingship adapter for the traditionally dated Daeso court; the project's broad Buyeo tag does not assert uninterrupted Northern or Eastern Buyeo political continuity.
MAH,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-30|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=55,P8.3;P13;SAM,contested,Anonymous tribal profile for the Mahan confederacy cluster; no unitary AD 1 ruler is inferred.
JIN,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-35|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=60,P8.3;P13;SAM,contested,Anonymous tribal profile for the Jinhan confederacy cluster; no unitary AD 1 ruler is inferred.
BYE,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-35|traditionalist_vs_innovative=-30|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=60,P8.3;P13;SAM,contested,Anonymous tribal profile for the Byeonhan confederacy cluster; no unitary AD 1 ruler is inferred.
WAA,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-35|aristocracy_vs_plutocracy=-40|capital_economy_vs_traditional_economy=70,P8.3;P13;CAH-XI,contested,Anonymous tribal profile for Yayoi Wa societies; it does not infer a Yamatai court before the later Himiko tradition.
YUE,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-45|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=70,P8.4;P13;CAH-XI,contested,Anonymous tribal profile for the Yuezhi confederation before its later Kushan unification path.
XIA,tribe,tribal_oldest_male,random,,,,,,,antq_xianbei_eastern_confederacy,antq_xianbei_chiefly_assembly_hearings,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=70,P8.8;P9;P13;CAH-XI;XIANBEI-CONFEDERACY,contested,Anonymous Xianbei eastern-steppe profile before the dated Tanshihuai confederation; it represents separate chiefly groups and does not project a later unitary khaganate into AD 1.
WHU,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-50|traditionalist_vs_innovative=-40|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=70,P8.8;P13;CAH-XI,contested,Anonymous tribal profile for the Wuhuan before their later confederation history.
DNG,tribe,tribal_oldest_male,random,,,,,,,antq_tribal_kingdom,antq_tribal_elder_council,antq_tribal_governance_law=antq_elder_council,centralization_vs_decentralization=-55|traditionalist_vs_innovative=-45|aristocracy_vs_plutocracy=-45|capital_economy_vs_traditional_economy=75,P8.8;P13;CAH-XI,contested,Anonymous tribal profile for the Dingling; no campaign-boundary ruler is inferred.
ELY,monarchy,cognatic_primogeniture,random,,,,,,,antq_parthian_subkingdom,antq_parthian_subking_autonomy,antq_parthian_subking_law=antq_regional_court_compact,centralization_vs_decentralization=-10|aristocracy_vs_plutocracy=-35|capital_economy_vs_traditional_economy=25,P8.2;P13;OCD;PLE,contested,Anonymous Parthian-facing profile for Elymais; the documented named-ruler gap remains open.
