tag,name,region,evidence_class,emblem,color1,color2,color3,emblem_color1,emblem_color2,emblem_color3,position_x,position_y,scale_x,scale_y,source,confidence,note
SEM,Semnones,Germania,regional_material_reconstruction,ce_horse_head.dds,green,yellow,white,color2,color3,color1,0.46,0.54,0.68,0.75,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Semnones; an explicitly marked regional UI reconstruction, not a historical flag."
HER,Hermunduri,Germania,regional_material_reconstruction,ce_horse_salient.dds,green,yellow,white,color2,color3,color1,0.50,0.54,0.68,0.75,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Hermunduri; an explicitly marked regional UI reconstruction, not a historical flag."
QUA,Quadi,Germania,regional_material_reconstruction,ce_spear_head_random_small.dds,green,yellow,white,color2,color3,color1,0.54,0.54,0.68,0.75,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Quadi; an explicitly marked regional UI reconstruction, not a historical flag."
GUT,Gutones,Germania,regional_material_reconstruction,ce_bow_arrow.dds,green,yellow,white,color2,color3,color1,0.46,0.46,0.74,0.75,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Gutones; an explicitly marked regional UI reconstruction, not a historical flag."
VAN,Vandili,Germania,regional_material_reconstruction,ce_tree_oak_simple.dds,green,yellow,white,color2,color3,color1,0.50,0.46,0.74,0.80,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Vandili; an explicitly marked regional UI reconstruction, not a historical flag."
RUG,Rugii,Germania,regional_material_reconstruction,ce_deer_kneeling.dds,green,yellow,white,color2,color3,color1,0.54,0.46,0.74,0.80,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Rugii; an explicitly marked regional UI reconstruction, not a historical flag."
BRG,Burgundiones,Germania,regional_material_reconstruction,ce_cartwheel.dds,green,yellow,white,color2,color3,color1,0.46,0.50,0.74,0.80,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Burgundiones; an explicitly marked regional UI reconstruction, not a historical flag."
ANG,Angles,Germania,regional_material_reconstruction,ce_spiral.dds,green,yellow,white,color2,color3,color1,0.50,0.50,0.74,0.80,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Angles; an explicitly marked regional UI reconstruction, not a historical flag."
SAX,Saxons,Germania,regional_material_reconstruction,ce_sun_radiant_simple.dds,green,yellow,white,color2,color3,color1,0.54,0.50,0.74,0.80,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Saxons; an explicitly marked regional UI reconstruction, not a historical flag."
JUT,Jutes,Germania,regional_material_reconstruction,ce_bull_head.dds,green,yellow,white,color2,color3,color1,0.46,0.54,0.74,0.85,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Germania material-motif composition for Jutes; an explicitly marked regional UI reconstruction, not a historical flag."
SUI,Suiones,Scandinavia,regional_material_reconstruction,ce_stag.dds,blue,yellow,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Scandinavia material-motif composition for Suiones; an explicitly marked regional UI reconstruction, not a historical flag."
AES,Aestii,Baltic,documented_material_motif,ce_spiral_star_06.dds,blue,yellow,black,color2,color2,color1,0.5,0.50,0.80,0.80,TAC-GER;P20,contested,Period-inspired amber-coast geometric standard for Aestian UI differentiation only; not a reconstructed flag
WBB,West Balt Barrow Culture,Baltic,documented_material_motif,ce_crescent_moon_02.dds,black,yellow,red,color2,color2,color1,0.5,0.50,0.78,0.78,PAN-WBB;P20,contested,Period-inspired barrow-and-horizon geometric standard for UI differentiation only; not a reconstructed people or state flag
BPC,Brushed Pottery Culture,Baltic,documented_material_motif,ce_cartwheel.dds,green,yellow,black,color2,color2,color1,0.5,0.50,0.78,0.78,VU-BRUSH;P20,contested,Period-inspired hillfort-pottery geometric standard for UI differentiation only; not a reconstructed people or state flag
WSC,West Lithuanian Stone-Circle Culture,Baltic,documented_material_motif,ce_spiral.dds,red,white,blue,color2,color2,color1,0.5,0.50,0.80,0.80,LIT-WLSC;P20,contested,Period-inspired stone-circle geometric standard for UI differentiation only; not a reconstructed people or state flag
ETG,Early Tarand-Grave Horizon,Baltic,documented_material_motif,ce_star_08.dds,blue,white,green,color2,color2,color1,0.5,0.50,0.78,0.78,UT-TARAND;P20,contested,Period-inspired tarand-enclosure geometric standard for UI differentiation only; not a reconstructed people or state flag
VEN,Venedi,Eastern Europe,regional_material_reconstruction,ce_deer_kneeling.dds,blue,white,yellow,color2,color3,color1,0.46,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Eastern Europe material-motif composition for Venedi; an explicitly marked regional UI reconstruction, not a historical flag."
FIN,Fenni,Finland,documented_material_motif,ce_deer_kneeling.dds,green,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,TAC-GER;P20,contested,Period-inspired northern hunting motif for Fennian UI differentiation only; not a reconstructed flag or subsistence census
CAT,Catuvellauni,Britain,documented_material_motif,ce_horse_salient.dds,red,yellow,black,color2,color2,color1,0.5,0.50,0.82,0.82,CCI-ADD;PTO-GEO-II2;P20,contested,Period-inspired British coin-horse standard for UI differentiation only; not a reconstructed Catuvellaunian flag
TRI,Trinovantes,Britain,documented_material_motif,ce_horse_head.dds,blue,white,red,color2,color2,color1,0.5,0.50,0.82,0.82,CCI-DUB;PTO-GEO-II2;P20,contested,Period-inspired British coin-horse standard for UI differentiation only; not a reconstructed Trinovantian flag
ICE,Iceni,Britain,documented_material_motif,ce_boar_passant.dds,green,yellow,black,color2,color2,color1,0.5,0.50,0.82,0.78,PTO-GEO-II2;P20,contested,Period-inspired insular animal standard for UI differentiation only; not a reconstructed Icenian flag
BRI,Brigantes,Britain,documented_material_motif,ce_cartwheel.dds,purple,white,black,color2,color2,color1,0.5,0.50,0.78,0.78,PTO-GEO-II2;P20,contested,Period-inspired wheel standard for UI differentiation only; not a reconstructed Brigantian flag
ATB,Atrebates,Britain,documented_material_motif,ce_horse_courant.dds,orange,white,blue,color2,color2,color1,0.5,0.50,0.84,0.76,CCI-TIN;PTO-GEO-II2;P20,contested,Period-inspired British coin-horse standard for UI differentiation only; not a reconstructed Atrebatic flag
SIL,Silures,Britain,documented_material_motif,ce_spear_head_byzantine.dds,black,white,red,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired spearhead standard for UI differentiation only; not a reconstructed Silurian flag
ORD,Ordovices,Britain,documented_material_motif,ce_stag_head_antlers_embowed.dds,green,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired upland stag standard for UI differentiation only; not a reconstructed Ordovician flag
DUM,Dumnonii,Britain,documented_material_motif,ce_spiral.dds,blue,white,yellow,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired insular spiral standard for UI differentiation only; not a reconstructed Dumnonian flag
BRT,Cantiaci,Britain,documented_material_motif,ce_boar_head.dds,red,white,blue,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired insular animal standard for UI differentiation only; not a reconstructed Cantiacian flag
REG,Regni,Britain,documented_material_motif,ce_deer_kneeling.dds,blue,yellow,green,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired south-coast animal standard for UI differentiation only; not a reconstructed Regnian flag
BLG,Belgae,Britain,documented_material_motif,ce_horse_heads_addorsed.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.82,0.82,PTO-GEO-II2;P20,contested,Period-inspired British coin-horse standard for UI differentiation only; not a reconstructed Belgic flag
DUR,Durotriges,Britain,documented_material_motif,ce_bull_head.dds,red,yellow,white,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired animal standard for UI differentiation only; not a reconstructed Durotrigian flag
DOB,Dobunni,Britain,documented_material_motif,ce_horse_trippant.dds,green,yellow,blue,color2,color2,color1,0.5,0.50,0.82,0.78,PTO-GEO-II2;P20,contested,Period-inspired British coin-horse standard for UI differentiation only; not a reconstructed Dobunnic flag
COR,Corieltauvi,Britain,documented_material_motif,ce_spiral_star_06.dds,purple,yellow,white,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired geometric standard for UI differentiation only; not a reconstructed Corieltauvian flag
CNV,Cornovii,Britain,documented_material_motif,ce_boar_passant_mane.dds,black,yellow,red,color2,color2,color1,0.5,0.50,0.82,0.78,PTO-GEO-II2;P20,contested,Period-inspired animal standard for UI differentiation only; not a reconstructed Cornovian flag
PBI,Parisii,Britain,documented_material_motif,ce_fish_naiant.dds,blue,white,black,color2,color2,color1,0.5,0.50,0.82,0.72,PTO-GEO-II2;P20,contested,Period-inspired Humber maritime standard for UI differentiation only; not a reconstructed British Parisian flag
CRV,Carvetii,Britain,documented_material_motif,ce_stag_salient.dds,green,white,red,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired Cumbrian animal standard for UI differentiation only; not a reconstructed Carvetian flag
DEM,Demetae,Britain,documented_material_motif,ce_crescent_moon.dds,purple,white,yellow,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;P20,contested,Period-inspired geometric standard for UI differentiation only; not a reconstructed Demetian flag
DEC,Deceangli,Britain,documented_material_motif,ce_bow_arrow.dds,blue,yellow,white,color2,color2,color1,0.5,0.50,0.82,0.82,PTO-GEO-II2;P20,contested,Period-inspired martial standard for UI differentiation only; not a reconstructed Deceanglian flag
VOT,Votadini,Britain,documented_material_motif,ce_horse_salient_variant.dds,red,white,black,color2,color2,color1,0.5,0.50,0.82,0.82,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired northern animal standard for UI differentiation only; not a reconstructed Votadinian flag
SEL,Selgovae,Britain,documented_material_motif,ce_bow_arrows_03.dds,green,white,yellow,color2,color2,color1,0.5,0.50,0.82,0.82,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired upland martial standard for UI differentiation only; not a reconstructed Selgovaean flag
NOV,Novantae,Britain,documented_material_motif,ce_fish_okeane.dds,blue,yellow,black,color2,color2,color1,0.5,0.50,0.82,0.72,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired coastal standard for UI differentiation only; not a reconstructed Novantaean flag
DAM,Damnonii,Britain,documented_material_motif,ce_bull_head_ringed.dds,purple,white,green,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired Clyde animal standard for UI differentiation only; not a reconstructed Damnonian flag
VCN,Venicones,Britain,documented_material_motif,ce_cartwheel.dds,orange,black,yellow,color2,color2,color1,0.5,0.50,0.78,0.78,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired geometric standard for UI differentiation only; not a reconstructed Veniconian flag
TAE,Taexali,Britain,documented_material_motif,ce_eagle_rising.dds,blue,white,red,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired northeastern bird standard for UI differentiation only; not a reconstructed Taexalian flag
EPD,Epidii,Britain,documented_material_motif,ce_crescent_moon_02.dds,green,yellow,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired western coastal standard for UI differentiation only; not a reconstructed Epidian flag
VAC,Vacomagi,Britain,documented_material_motif,ce_stag.dds,red,white,blue,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired Moray animal standard for UI differentiation only; not a reconstructed Vacomagian flag
DCT,Decantae,Britain,documented_material_motif,ce_spiral.dds,orange,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired northern geometric standard for UI differentiation only; not a reconstructed Decantian flag
CAE,Caereni,Britain,documented_material_motif,ce_deer_kneeling.dds,blue,white,green,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired northern animal standard for UI differentiation only; not a reconstructed Caerenian flag
CRE,Creones,Britain,documented_material_motif,ce_fish_naiant.dds,purple,yellow,white,color2,color2,color1,0.5,0.50,0.82,0.72,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired western-island standard for UI differentiation only; not a reconstructed Creonian flag
CNA,Carnonacae,Britain,documented_material_motif,ce_boar_head.dds,green,white,blue,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired northwestern animal standard for UI differentiation only; not a reconstructed Carnonacan flag
LGB,Lugi,Britain,documented_material_motif,ce_horse_head.dds,black,white,yellow,color2,color2,color1,0.5,0.50,0.82,0.82,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired northern animal standard for UI differentiation only; not a reconstructed British Lugian flag
SME,Smertae,Britain,documented_material_motif,ce_spear_head_random_small.dds,red,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired northern martial standard for UI differentiation only; not a reconstructed Smertian flag
NCR,Cornavii,Britain,documented_material_motif,ce_star_08.dds,blue,yellow,white,color2,color2,color1,0.47,0.45,0.74,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired far-northern geometric standard for UI differentiation only; not a reconstructed Cornavian flag Exhaustive audit selected a distinct regional material motif to prevent an identical standard.
CAL,Caledoni,Britain,documented_material_motif,ce_stag_head_shield.dds,purple,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II2;MANN-BRI;P20,contested,Period-inspired forest-core animal standard for UI differentiation only; not a reconstructed Caledonian flag
VNI,Vennicnii,Ireland,documented_material_motif,ce_spiral.dds,green,yellow,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian geometric standard for UI differentiation only; not a reconstructed Vennicnian flag
RHB,Rhobogdii,Ireland,documented_material_motif,ce_boar_passant.dds,red,white,blue,color2,color2,color1,0.5,0.50,0.82,0.78,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Rhobogdian flag
DAR,Darini,Ireland,documented_material_motif,ce_horse_courant.dds,blue,yellow,black,color2,color2,color1,0.5,0.50,0.84,0.76,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Darinian flag
ERD,Erdini,Ireland,documented_material_motif,ce_stag_salient.dds,purple,white,green,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Erdinian flag
ULA,Voluntii,Ireland,documented_material_motif,ce_bull_head.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Voluntian flag
NAG,Nagnatae,Ireland,documented_material_motif,ce_cartwheel.dds,green,white,yellow,color2,color2,color1,0.5,0.50,0.78,0.78,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian geometric standard for UI differentiation only; not a reconstructed Nagnatan flag
AUT,Autini,Ireland,documented_material_motif,ce_deer_kneeling.dds,blue,white,red,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Autinian flag
GAN,Gangani,Ireland,documented_material_motif,ce_fish_naiant.dds,red,yellow,black,color2,color2,color1,0.5,0.50,0.82,0.72,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Atlantic standard for UI differentiation only; not a reconstructed Ganganian flag
VEL,Velabri,Ireland,documented_material_motif,ce_crescent_moon.dds,purple,yellow,white,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian geometric standard for UI differentiation only; not a reconstructed Velabrian flag
IVN,Iverni,Ireland,documented_material_motif,ce_boar_head.dds,green,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Ivernian flag
USD,Usdiae,Ireland,documented_material_motif,ce_horse_head.dds,orange,white,blue,color2,color2,color1,0.5,0.50,0.82,0.82,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Usdiaean flag
IBG,Hibernian Brigantes,Ireland,documented_material_motif,ce_bull_head_ringed.dds,blue,white,yellow,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian animal standard for UI differentiation only; not a reconstructed Irish Brigantian flag
CND,Coriondi,Ireland,documented_material_motif,ce_spiral_star_06.dds,red,white,black,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Hibernian geometric standard for UI differentiation only; not a reconstructed Coriondian flag
MNP,Manapii,Ireland,documented_material_motif,ce_fish_okeane.dds,green,yellow,blue,color2,color2,color1,0.5,0.50,0.82,0.72,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired Irish Sea standard for UI differentiation only; not a reconstructed Manapian flag
CCI,Cauci,Ireland,documented_material_motif,ce_eagle_rising.dds,purple,white,yellow,color2,color2,color1,0.5,0.50,0.80,0.80,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired eastern Hibernian bird standard for UI differentiation only; not a reconstructed Caucian flag
EBL,Eblani,Ireland,documented_material_motif,ce_star_08.dds,orange,black,white,color2,color2,color1,0.5,0.50,0.78,0.78,PTO-GEO-II1;DARCY-IRE;P20,contested,Period-inspired eastern Hibernian geometric standard for UI differentiation only; not a reconstructed Eblanian flag
DAC,Dacian Kingdoms,Danube,regional_material_reconstruction,ce_horse_salient.dds,green,yellow,white,color2,color3,color1,0.46,0.46,0.68,0.70,P8.7;CAH-XI;PLE;P8.7;P20;P20,contested,"Period-inspired Danube material-motif composition for Dacian Kingdoms; an explicitly marked regional UI reconstruction, not a historical flag."
GET,Getae,Danube,regional_material_reconstruction,ce_wolf_head.dds,green,yellow,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Danube material-motif composition for Getae; an explicitly marked regional UI reconstruction, not a historical flag."
BAS,Bastarnae,Danube,regional_material_reconstruction,ce_horse_salient.dds,green,yellow,white,color2,color3,color1,0.47,0.45,0.74,0.80,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Danube material-motif composition for Bastarnae; an explicitly marked regional UI reconstruction, not a historical flag. Exhaustive audit selected a distinct regional material motif to prevent an identical standard."
IAZ,Iazyges,Danube,regional_material_reconstruction,ce_boar_passant.dds,green,yellow,white,color2,color3,color1,0.46,0.50,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Danube material-motif composition for Iazyges; an explicitly marked regional UI reconstruction, not a historical flag."
ROX,Roxolani,Pontic,regional_material_reconstruction,ce_bow_arrow.dds,purple,yellow,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Pontic material-motif composition for Roxolani; an explicitly marked regional UI reconstruction, not a historical flag."
AOR,Aorsi,Pontic,regional_material_reconstruction,ce_deer_kneeling.dds,purple,yellow,white,color2,color3,color1,0.54,0.46,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Pontic material-motif composition for Aorsi; an explicitly marked regional UI reconstruction, not a historical flag."
SIR,Siraces,Pontic,regional_material_reconstruction,ce_cartwheel.dds,purple,yellow,white,color2,color3,color1,0.46,0.50,0.68,0.70,P8.7;CAH-XI;PLE;P8.7;P20;P20,contested,"Period-inspired Pontic material-motif composition for Siraces; an explicitly marked regional UI reconstruction, not a historical flag."
ALA,Alans,Pontic,regional_material_reconstruction,ce_spear_head_random_small.dds,purple,yellow,white,color2,color3,color1,0.50,0.50,0.68,0.70,P8.7;CAH-XI;P8.7;P20;P20,contested,"Period-inspired Pontic material-motif composition for Alans; an explicitly marked regional UI reconstruction, not a historical flag."
KNG,Kangju,Central Asia,regional_material_reconstruction,ce_cartwheel.dds,red,yellow,black,color2,color3,color1,0.54,0.46,0.68,0.70,P8.8;CHG;P8.8;P20;P20,contested,"Period-inspired Central Asia material-motif composition for Kangju; an explicitly marked regional UI reconstruction, not a historical flag."
WSN,Wusun,Central Asia,regional_material_reconstruction,ce_mountain.dds,red,yellow,black,color2,color3,color1,0.46,0.50,0.68,0.70,P8.8;CHG;P8.8;P20;P20,contested,"Period-inspired Central Asia material-motif composition for Wusun; an explicitly marked regional UI reconstruction, not a historical flag."
DAY,Dayuan,Central Asia,regional_material_reconstruction,ce_spear_head_random_small.dds,red,yellow,black,color2,color3,color1,0.50,0.50,0.68,0.70,P8.8;CHG;P8.8;P20;P20,contested,"Period-inspired Central Asia material-motif composition for Dayuan; an explicitly marked regional UI reconstruction, not a historical flag."
SOG,Sogdian Cities,Central Asia,regional_material_reconstruction,ce_deer_kneeling.dds,red,yellow,black,color2,color3,color1,0.54,0.50,0.68,0.75,P8.8;CHG;P8.8;P20;P20,contested,"Period-inspired Central Asia material-motif composition for Sogdian Cities; an explicitly marked regional UI reconstruction, not a historical flag."
KHW,Khwarazm,Central Asia,regional_material_reconstruction,ce_spiral.dds,red,yellow,black,color2,color3,color1,0.46,0.54,0.68,0.75,P8.8;CHG;P8.8;P20;P20,contested,"Period-inspired Central Asia material-motif composition for Khwarazm; an explicitly marked regional UI reconstruction, not a historical flag."
XIA,Xianbei,Steppe,regional_material_reconstruction,ce_bow_arrow.dds,blue,yellow,white,color2,color3,color1,0.50,0.46,0.68,0.70,P8.8;CAH-XI;P8.8;P20;P20,contested,"Period-inspired Steppe material-motif composition for Xianbei; an explicitly marked regional UI reconstruction, not a historical flag."
WHU,Wuhuan,Steppe,regional_material_reconstruction,ce_spear_head_random_small.dds,blue,yellow,white,color2,color3,color1,0.54,0.46,0.68,0.70,P8.8;CAH-XI;P8.8;P20;P20,contested,"Period-inspired Steppe material-motif composition for Wuhuan; an explicitly marked regional UI reconstruction, not a historical flag."
DNG,Dingling,Steppe,regional_material_reconstruction,ce_wolf_head.dds,blue,yellow,white,color2,color3,color1,0.46,0.50,0.68,0.70,P8.8;CAH-XI;P8.8;P20;P20,contested,"Period-inspired Steppe material-motif composition for Dingling; an explicitly marked regional UI reconstruction, not a historical flag."
PYU,Pyu Cities,Southeast Asia,regional_material_reconstruction,ce_elephant_asian.dds,green,yellow,red,color2,color3,color1,0.46,0.46,0.68,0.70,P8.9;CAH-XI;P8.9;P20;P20,contested,"Period-inspired Southeast Asia material-motif composition for Pyu Cities; an explicitly marked regional UI reconstruction, not a historical flag."
MON,Mon Precursors,Southeast Asia,regional_material_reconstruction,ce_boat_shield.dds,green,yellow,red,color2,color3,color1,0.50,0.46,0.68,0.70,P8.9;CAH-XI;P8.9;P20;P20,contested,"Period-inspired Southeast Asia material-motif composition for Mon Precursors; an explicitly marked regional UI reconstruction, not a historical flag."
KHM,Proto-Khmer,Southeast Asia,regional_material_reconstruction,ce_fish_naiant.dds,green,yellow,red,color2,color3,color1,0.54,0.46,0.68,0.70,P8.9;CAH-XI;P8.9;P20;P20,contested,"Period-inspired Southeast Asia material-motif composition for Proto-Khmer; an explicitly marked regional UI reconstruction, not a historical flag."
MAL,Malay Polities,Southeast Asia,regional_material_reconstruction,ce_spiral.dds,green,yellow,red,color2,color3,color1,0.46,0.50,0.68,0.70,P8.9;CAH-XI;P8.9;P20;P20,contested,"Period-inspired Southeast Asia material-motif composition for Malay Polities; an explicitly marked regional UI reconstruction, not a historical flag."
JAV,Javanese Polities,Southeast Asia,regional_material_reconstruction,ce_conch_shell.dds,green,yellow,red,color2,color3,color1,0.50,0.50,0.68,0.70,P8.9;CAH-XI;P8.9;P20;P20,contested,"Period-inspired Southeast Asia material-motif composition for Javanese Polities; an explicitly marked regional UI reconstruction, not a historical flag."
LZC,Northwest Luzon Coastal,Southeast Asia,documented_material_motif,ce_boat_shield.dds,blue,white,red,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;P20,contested,Period-inspired Northwest Luzon Coastal Communities UI standard; not a reconstructed flag
CXR,Central Luzon River,Southeast Asia,documented_material_motif,ce_fish_naiant.dds,green,white,yellow,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;P20,contested,Period-inspired Central Luzon River Communities UI standard; not a reconstructed flag
MBL,Manila Bay-Laguna,Southeast Asia,documented_material_motif,ce_asian_animist_sun.dds,red,yellow,blue,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;P20,contested,Period-inspired Manila Bay-Laguna Communities UI standard; not a reconstructed flag
BCP,Bicol Peninsula Metal-Age,Southeast Asia,documented_material_motif,ce_spiral_star_06.dds,orange,white,blue,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK;P20,contested,Period-inspired Bicol Peninsula Metal-Age Communities UI standard; not a reconstructed flag
MDR,Mindoro Maritime,Southeast Asia,documented_material_motif,ce_conch_shell.dds,blue,white,green,color2,color2,color1,0.5,0.50,0.76,0.76,ATENEO-MINDORO;NMP-PH-JARS;P20,contested,Period-inspired Mindoro Maritime Communities UI standard; not a reconstructed flag
PNY,Panay Metal-Age,Southeast Asia,documented_material_motif,ce_spiral.dds,red,white,yellow,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;BELLINA-SHK;P20,contested,Period-inspired Panay Metal-Age Communities UI standard; not a reconstructed flag
NGR,Negros Metal-Age,Southeast Asia,documented_material_motif,ce_circle.dds,black,yellow,red,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;P20,contested,Period-inspired Negros Metal-Age Communities UI standard; not a reconstructed flag
CBH,Cebu-Bohol Island,Southeast Asia,documented_material_motif,ce_fishes_in_pale_shield.dds,blue,white,yellow,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-KALANAY;BELLINA-SHK;P20,contested,Period-inspired Cebu-Bohol Island Communities UI standard; not a reconstructed flag
PLW,Palawan Cave-Coast,Southeast Asia,documented_material_motif,ce_boat_shield.dds,green,yellow,blue,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-TABON;NMP-PH-JARS;P20,contested,Period-inspired Palawan Cave-Coast Communities UI standard; not a reconstructed flag
AGS,Agusan River,Southeast Asia,documented_material_motif,ce_fish_okeane.dds,blue,yellow,red,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;P20,contested,Period-inspired Agusan River Communities UI standard; not a reconstructed flag
LNO,Lanao Coast-Lake,Southeast Asia,documented_material_motif,ce_crescent_moon.dds,green,white,blue,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;P20,contested,Period-inspired Lanao Coast-Lake Communities UI standard; not a reconstructed flag
PCT,Pulangi-Cotabato Basin,Southeast Asia,documented_material_motif,ce_cartwheel.dds,red,yellow,white,color2,color2,color1,0.5,0.50,0.76,0.76,NMP-PH-METAL;NMP-PH-JARS;P20,contested,Period-inspired Pulangi-Cotabato Basin Communities UI standard; not a reconstructed flag
